
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 100.0
Rjb Max (km):, 1000.0
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1307, -, 1.0, -, 14.2, 29.2, 0.0, "Chi-Chi_ Taiwan", 1999, "ILA001", 7.62, Reverse Oblique, 101.24, 103.2, 909.09, 0.0625, 1.0, RSN1307_CHICHI_ILA001-N.AT2, RSN1307_CHICHI_ILA001-W.AT2 , RSN1307_CHICHI_ILA001-V.AT2  
2, SRSS, 1341, -, 1.0, -, 14.2, 25.3, 0.0, "Chi-Chi_ Taiwan", 1999, "ILA054", 7.62, Reverse Oblique, 114.27, 116.01, 677.3, 0.025, 1.0, RSN1341_CHICHI_ILA054-N.AT2, RSN1341_CHICHI_ILA054-W.AT2 , RSN1341_CHICHI_ILA054-V.AT2  
3, SRSS, 1352, -, 1.0, -, 39.6, 70.6, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU003", 7.62, Reverse Oblique, 113.39, 114.44, 913.77, 0.025, 1.0, RSN1352_CHICHI_KAU003-N.AT2, RSN1352_CHICHI_KAU003-W.AT2 , RSN1352_CHICHI_KAU003-V.AT2  
4, SRSS, 1353, -, 1.0, -, 38.9, 51.5, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU006", 7.62, Reverse Oblique, 113.37, 114.92, 218.49, 0.025, 1.0, RSN1353_CHICHI_KAU006-E.AT2, RSN1353_CHICHI_KAU006-N.AT2 , RSN1353_CHICHI_KAU006-V.AT2  
5, SRSS, 1354, -, 1.0, -, 34.7, 49.7, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU007", 7.62, Reverse Oblique, 105.92, 107.57, 290.86, 0.05, 1.0, RSN1354_CHICHI_KAU007-E.AT2, RSN1354_CHICHI_KAU007-N.AT2 , RSN1354_CHICHI_KAU007-V.AT2  
6, SRSS, 1355, -, 1.0, -, 35.0, 46.0, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU008", 7.62, Reverse Oblique, 107.02, 108.75, 285.94, 0.025, 1.0, RSN1355_CHICHI_KAU008-E.AT2, RSN1355_CHICHI_KAU008-N.AT2 , RSN1355_CHICHI_KAU008-V.AT2  
7, SRSS, 1357, -, 1.0, -, 31.4, 43.3, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU011", 7.62, Reverse Oblique, 101.23, 101.85, 155.32, 0.05, 1.0, RSN1357_CHICHI_KAU011-E.AT2, RSN1357_CHICHI_KAU011-N.AT2 , RSN1357_CHICHI_KAU011-V.AT2  
8, SRSS, 1359, -, 1.0, -, 34.7, 48.2, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU015", 7.62, Reverse Oblique, 106.51, 107.97, 233.21, 0.025, 1.0, RSN1359_CHICHI_KAU015-E.AT2, RSN1359_CHICHI_KAU015-N.AT2 , RSN1359_CHICHI_KAU015-V.AT2  
9, SRSS, 1363, -, 1.0, -, 28.9, 46.2, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU030", 7.62, Reverse Oblique, 100.12, 102.09, 259.36, 0.025, 1.0, RSN1363_CHICHI_KAU030-E.AT2, RSN1363_CHICHI_KAU030-N.AT2 , RSN1363_CHICHI_KAU030-V.AT2  
10, SRSS, 1364, -, 1.0, -, 34.4, 46.1, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU032", 7.62, Reverse Oblique, 111.02, 112.81, 194.13, 0.275, 1.0, RSN1364_CHICHI_KAU032-E.AT2, RSN1364_CHICHI_KAU032-N.AT2 , RSN1364_CHICHI_KAU032-V.AT2  
11, SRSS, 1365, -, 1.0, -, 38.3, 50.6, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU033", 7.62, Reverse Oblique, 119.31, 120.97, 182.93, 0.025, 1.0, RSN1365_CHICHI_KAU033-E.AT2, RSN1365_CHICHI_KAU033-N.AT2 , RSN1365_CHICHI_KAU033-V.AT2  
12, SRSS, 1366, -, 1.0, -, 29.6, 36.4, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU034", 7.62, Reverse Oblique, 106.72, 108.58, 1010.4, 0.0625, 1.0, RSN1366_CHICHI_KAU034-E.AT2, RSN1366_CHICHI_KAU034-N.AT2 , RSN1366_CHICHI_KAU034-V.AT2  
13, SRSS, 1367, -, 1.0, -, 28.8, 37.3, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU037", 7.62, Reverse Oblique, 135.0, 136.47, 283.21, 0.025, 1.0, RSN1367_CHICHI_KAU037-E.AT2, RSN1367_CHICHI_KAU037-N.AT2 , RSN1367_CHICHI_KAU037-V.AT2  
14, SRSS, 1368, -, 1.0, -, 30.8, 40.9, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU038", 7.62, Reverse Oblique, 141.79, 143.2, 667.59, 0.375, 1.0, RSN1368_CHICHI_KAU038-E.AT2, RSN1368_CHICHI_KAU038-N.AT2 , RSN1368_CHICHI_KAU038-V.AT2  
15, SRSS, 1369, -, 1.0, -, 26.8, 33.5, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU039", 7.62, Reverse Oblique, 151.33, 152.65, 464.82, 0.025, 1.0, RSN1369_CHICHI_KAU039-E.AT2, RSN1369_CHICHI_KAU039-N.AT2 , RSN1369_CHICHI_KAU039-V.AT2  
