
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 55.0
Rrup Max (km):, 80.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1185, -, 1.0, -, 42.8, 83.3, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY012", 7.62, Reverse Oblique, 59.04, 59.04, 198.4, 0.0375, 1.0, RSN1185_CHICHI_CHY012-N.AT2, RSN1185_CHICHI_CHY012-W.AT2 , RSN1185_CHICHI_CHY012-V.AT2  
2, SRSS, 1188, -, 1.0, -, 36.3, 74.6, 0.4, "Chi-Chi_ Taiwan", 1999, "CHY016", 7.62, Reverse Oblique, 66.64, 66.64, 200.86, 0.0375, 1.0, RSN1188_CHICHI_CHY016-N.AT2, RSN1188_CHICHI_CHY016-W.AT2 , RSN1188_CHICHI_CHY016-V.AT2  
3, SRSS, 1189, -, 1.0, -, 40.9, 68.3, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY017", 7.62, Reverse Oblique, 59.09, 59.09, 190.57, 0.0375, 1.0, RSN1189_CHICHI_CHY017-N.AT2, RSN1189_CHICHI_CHY017-W.AT2 , RSN1189_CHICHI_CHY017-V.AT2  
4, SRSS, 1191, -, 1.0, -, 24.9, 39.8, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY022", 7.62, Reverse Oblique, 63.21, 64.15, 564.07, 0.0375, 1.0, RSN1191_CHICHI_CHY022-N.AT2, RSN1191_CHICHI_CHY022-W.AT2 , RSN1191_CHICHI_CHY022-V.AT2  
5, SRSS, 1207, -, 1.0, -, 27.6, 46.9, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY044", 7.62, Reverse Oblique, 55.13, 55.13, 194.47, 0.075, 1.0, RSN1207_CHICHI_CHY044-E.AT2, RSN1207_CHICHI_CHY044-N.AT2 , RSN1207_CHICHI_CHY044-V.AT2  
6, SRSS, 1214, -, 1.0, -, 26.1, 39.1, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY057", 7.62, Reverse Oblique, 56.67, 56.93, 411.46, 0.0375, 1.0, RSN1214_CHICHI_CHY057-E.AT2, RSN1214_CHICHI_CHY057-N.AT2 , RSN1214_CHICHI_CHY057-V.AT2  
7, SRSS, 1215, -, 1.0, -, 30.8, 44.9, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY058", 7.62, Reverse Oblique, 59.79, 59.8, 269.28, 0.0375, 1.0, RSN1215_CHICHI_CHY058-E.AT2, RSN1215_CHICHI_CHY058-N.AT2 , RSN1215_CHICHI_CHY058-V.AT2  
8, SRSS, 1216, -, 1.0, -, 33.6, 51.3, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY059", 7.62, Reverse Oblique, 73.26, 73.26, 191.09, 0.0375, 1.0, RSN1216_CHICHI_CHY059-E.AT2, RSN1216_CHICHI_CHY059-N.AT2 , RSN1216_CHICHI_CHY059-V.AT2  
9, SRSS, 1217, -, 1.0, -, 35.9, 50.3, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY060", 7.62, Reverse Oblique, 68.86, 68.86, 228.92, 0.05, 1.0, RSN1217_CHICHI_CHY060-E.AT2, RSN1217_CHICHI_CHY060-N.AT2 , RSN1217_CHICHI_CHY060-V.AT2  
10, SRSS, 1218, -, 1.0, -, 24.7, 38.0, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY061", 7.62, Reverse Oblique, 57.5, 58.75, 538.69, 0.0875, 1.0, RSN1218_CHICHI_CHY061-E.AT2, RSN1218_CHICHI_CHY061-N.AT2 , RSN1218_CHICHI_CHY061-V.AT2  
