
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 40.0
Rrup Max (km):, 200.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 943, -, 1.0, -, 7.4, 13.2, 0.1, "Northridge-01", 1994, "Anacapa Island", 6.69, Reverse, 65.84, 68.93, 501.75, 0.3, 1.0, RSN943_NORTHR_ACI000.AT2, RSN943_NORTHR_ACI270.AT2 , RSN943_NORTHR_ACI-UP.AT2  
2, SRSS, 944, -, 1.0, -, 13.1, 19.7, 0.1, "Northridge-01", 1994, "Anaheim - W Ball Rd", 6.69, Reverse, 66.32, 68.62, 269.29, 0.375, 1.0, RSN944_NORTHR_WBA000.AT2, RSN944_NORTHR_WBA090.AT2 , RSN944_NORTHR_WBA-UP.AT2  
3, SRSS, 946, -, 1.0, -, 9.0, 15.2, 0.0, "Northridge-01", 1994, "Antelope Buttes", 6.69, Reverse, 46.65, 46.91, 572.57, 0.12, 1.0, RSN946_NORTHR_ATB000.AT2, RSN946_NORTHR_ATB090.AT2 , RSN946_NORTHR_ATB-UP.AT2  
4, SRSS, 948, -, 1.0, -, 8.3, 17.3, 0.2, "Northridge-01", 1994, "Arcadia - Campus Dr", 6.69, Reverse, 41.11, 41.41, 367.53, 0.25, 1.0, RSN948_NORTHR_CAM009.AT2, RSN948_NORTHR_CAM279.AT2 , RSN948_NORTHR_CAM-UP.AT2  
5, SRSS, 950, -, 1.0, -, 6.9, 13.8, 0.1, "Northridge-01", 1994, "Baldwin Park - N Holly", 6.69, Reverse, 47.72, 47.98, 544.68, 0.3125, 1.0, RSN950_NORTHR_NHO180.AT2, RSN950_NORTHR_NHO270.AT2 , RSN950_NORTHR_NHO-UP.AT2  
6, SRSS, 951, -, 1.0, -, 10.1, 19.8, 0.2, "Northridge-01", 1994, "Bell Gardens - Jaboneria", 6.69, Reverse, 41.27, 44.1, 267.13, 0.4125, 1.0, RSN951_NORTHR_JAB220.AT2, RSN951_NORTHR_JAB310.AT2 , RSN951_NORTHR_JAB-UP.AT2  
7, SRSS, 955, -, 1.0, -, 7.0, 17.5, 0.2, "Northridge-01", 1994, "Brea - S Flower Av", 6.69, Reverse, 64.63, 65.43, 322.75, 0.3125, 1.0, RSN955_NORTHR_FLO020.AT2, RSN955_NORTHR_FLO290.AT2 , RSN955_NORTHR_FLO-UP.AT2  
8, SRSS, 956, -, 1.0, -, 9.9, 18.1, 0.2, "Northridge-01", 1994, "Buena Park - La Palma", 6.69, Reverse, 59.35, 61.96, 270.96, 0.2875, 1.0, RSN956_NORTHR_BPK090.AT2, RSN956_NORTHR_BPK180.AT2 , RSN956_NORTHR_BPK-UP.AT2  
9, SRSS, 958, -, 1.0, -, 15.6, 37.6, 0.5, "Northridge-01", 1994, "Camarillo", 6.69, Reverse, 34.78, 40.34, 351.4, 0.2, 1.0, RSN958_NORTHR_CMR180.AT2, RSN958_NORTHR_CMR270.AT2 , RSN958_NORTHR_CMR-UP.AT2  
10, SRSS, 961, -, 1.0, -, 10.3, 21.0, 0.1, "Northridge-01", 1994, "Carson - Catskill Ave", 6.69, Reverse, 46.05, 50.38, 305.14, 0.2875, 1.0, RSN961_NORTHR_CAT090.AT2, RSN961_NORTHR_CAT180.AT2 , RSN961_NORTHR_CAT-UP.AT2  
