Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.0943029
2,Intensity 2,22,0,0.1,0.4,0.00507564
3,Intensity 3,22,0,0.125,0.4,0.00366069
4,Intensity 4,22,0,0.15,0.4,0.00278419
5,Intensity 5,22,0,0.175,0.4,0.00219835
6,Intensity 6,22,0,0.2,0.4,0.00178489
7,Intensity 7,22,0,0.225,0.4,0.00148091
8,Intensity 8,22,0,0.25,0.4,0.00125017
9,Intensity 9,22,0,0.275,0.4,0.00107045
10,Intensity 10,22,0,0.3,0.4,0.0009275
11,Intensity 11,22,0,0.35,0.4,0.000716627
12,Intensity 12,22,0,0.4,0.4,0.00057072
13,Intensity 13,22,0,0.45,0.4,0.000465333
14,Intensity 14,22,0,0.5,0.4,0.000386612
15,Intensity 15,22,0,0.6,0.4,0.0002788
16,Intensity 16,22,0,0.7,0.4,0.000210133
17,Intensity 17,22,0,0.707,0.4,0.000206291
18,Intensity 18,22,0,0.8,0.4,0.000163688
19,Intensity 19,22,0,0.9,0.4,0.000130818
20,Intensity 20,22,0,1,0.4,0.000106715
21,Intensity 21,22,0,1.1,0.4,8.85304e-05
22,Intensity 22,22,0,1.2,0.4,7.44849e-05
23,Intensity 23,22,0,1.3,0.4,6.34208e-05
24,Intensity 24,22,0,1.4,0.4,5.45583e-05
25,Intensity 25,22,0,1.5,0.4,4.7356e-05
26,Intensity 26,22,0,2,0.4,2.58396e-05
27,Intensity 27,22,0,3,0.4,1.05204e-05
28,Intensity 28,22,0,4,0.4,5.37406e-06
29,Intensity 29,22,0,5,0.4,3.12551e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
1,Story Drift Ratio,1,1,0.000318716,0.000229648,0.000199831,0.000270411,0.000257351,0.000302788,0.000343161,0.000207365,0.000205681,0.000253974,0.000228081,0.000204662,0.000295267,0.000238873,0.000263911,0.000209301,0.000214358,0.000226607,0.000186888,0.000171534,0.000246223,0.000282676
1,Story Drift Ratio,1,2,0.000205571,0.000291612,0.000305533,0.000268752,0.00021006,0.000212958,0.000171424,0.000359614,0.000292763,0.000213437,0.000213803,0.000334744,0.000230969,0.000209945,0.000234118,0.000313284,0.000323134,0.000296752,0.000299052,0.000287301,0.000292949,0.000231091
1,Story Drift Ratio,2,1,0.000445867,0.00030642,0.000279233,0.000323009,0.000345218,0.000435954,0.000458518,0.000239897,0.000263536,0.000346185,0.000340244,0.000261604,0.000380916,0.000362183,0.000357156,0.000295765,0.000306456,0.00031297,0.000283853,0.000250884,0.000356471,0.00039763
1,Story Drift Ratio,2,2,0.000285372,0.000401205,0.000425857,0.000371873,0.000274215,0.000262884,0.000241145,0.000477202,0.000409485,0.000292304,0.000327043,0.000451662,0.000310051,0.000295123,0.000343326,0.00042142,0.000445617,0.000437859,0.000413172,0.000429537,0.000402266,0.000307436
1,Story Drift Ratio,3,1,0.000374768,0.000331179,0.000230188,0.000268442,0.000332903,0.000417357,0.000379895,0.000320568,0.000260616,0.000290374,0.000315692,0.000264139,0.0003754,0.000349474,0.000334241,0.00026359,0.000277203,0.000297178,0.000304085,0.000213881,0.000323258,0.000349397
1,Story Drift Ratio,3,2,0.000241625,0.000395721,0.00040134,0.000367899,0.000237058,0.000270591,0.000228806,0.000426199,0.00038409,0.000250065,0.000312839,0.000394984,0.0003762,0.000258781,0.000308422,0.000379977,0.000413996,0.000435625,0.000389766,0.000417593,0.000369752,0.000298718
1,Acceleration,1,1,0.0130007,0.0147383,0.00828712,0.0143821,0.0111453,0.0139105,0.0133552,0.019668,0.0110472,0.00661333,0.0048482,0.00989584,0.0182053,0.0073609,0.0190928,0.00648855,0.00628387,0.0148493,0.00930556,0.014194,0.00623229,0.00842416
1,Acceleration,1,2,0.0112749,0.0129771,0.0122955,0.0148007,0.00812673,0.00838112,0.0114265,0.0129485,0.0162383,0.00410438,0.00533531,0.0115635,0.017493,0.00763391,0.0121961,0.00757594,0.00736203,0.0159086,0.0101418,0.0137058,0.00770476,0.011998
1,Acceleration,2,1,0.0128866,0.0113722,0.00891738,0.011122,0.0088601,0.00995308,0.0103887,0.017233,0.0104571,0.00634062,0.00426188,0.00907301,0.0179309,0.00841295,0.0137525,0.00534075,0.00528567,0.00983084,0.00606701,0.0125515,0.00657714,0.00647401
1,Acceleration,2,2,0.0117153,0.0122496,0.00987333,0.0103361,0.00752103,0.00868743,0.00922759,0.0118478,0.0156174,0.0055771,0.00590891,0.0100264,0.011129,0.00734932,0.00900769,0.00732901,0.00770674,0.00991234,0.0068488,0.0166905,0.00848159,0.0102161
1,Acceleration,3,1,0.0143769,0.009488,0.00875806,0.0122286,0.010416,0.013004,0.0144743,0.0149007,0.0097467,0.00866131,0.00745928,0.00982561,0.014173,0.0089003,0.0122607,0.00712114,0.00790845,0.0088835,0.00834676,0.00930945,0.00890222,0.0107061
1,Acceleration,3,2,0.00975567,0.0140995,0.0125926,0.0118045,0.00857123,0.0102971,0.00739822,0.0147803,0.0117281,0.00808444,0.00816661,0.0125129,0.0112233,0.00901462,0.0092045,0.0116729,0.0116597,0.0111848,0.010894,0.0164893,0.0110229,0.0104181
1,Acceleration,4,1,0.0177656,0.0141437,0.00998259,0.0128949,0.014217,0.017927,0.0176981,0.015515,0.0104125,0.0121873,0.0128194,0.0104982,0.0184294,0.014411,0.0151003,0.0107629,0.0116565,0.0113136,0.0123405,0.00962142,0.0134619,0.0153514
1,Acceleration,4,2,0.0112548,0.0161964,0.0195096,0.0154502,0.00962374,0.0124157,0.00917002,0.0175416,0.0165895,0.010423,0.0127308,0.0165382,0.0179316,0.0106601,0.0137522,0.0168926,0.0177567,0.0194013,0.0156864,0.0226336,0.0154243,0.0122065
1,Residual Drift,,,8.55913e-07,2.4889e-06,4.56255e-06,1.60043e-06,1.42697e-06,6.03109e-06,2.10157e-06,8.49896e-07,6.27357e-06,3.25267e-06,3.55215e-06,7.79987e-06,4.62477e-07,7.13631e-06,3.1266e-06,7.12045e-06,1.21753e-06,1.117e-06,6.69624e-07,2.21101e-06,9.87343e-07,1.85467e-06
2,Story Drift Ratio,1,1,0.00166636,0.00144322,0.00119114,0.00156691,0.00194494,0.00130489,0.00170093,0.00132978,0.00127661,0.00152023,0.00133742,0.00147319,0.00159093,0.00166572,0.00141646,0.00123137,0.00113771,0.00130535,0.00126766,0.00131394,0.00132077,0.00170432
2,Story Drift Ratio,1,2,0.00114758,0.00152988,0.0018111,0.00172743,0.00134645,0.00117683,0.00124522,0.00196797,0.00213576,0.00134304,0.00147396,0.00185872,0.00150189,0.00132427,0.00147627,0.00167632,0.00166165,0.00177681,0.00180829,0.00186633,0.00151037,0.00122396
2,Story Drift Ratio,2,1,0.00211292,0.00184567,0.001581,0.0019969,0.00244834,0.00171272,0.00213459,0.00180527,0.0016843,0.00195978,0.00174546,0.00191223,0.0020355,0.00212533,0.00184186,0.00168701,0.0015213,0.001666,0.00166745,0.00173052,0.00171569,0.00215
2,Story Drift Ratio,2,2,0.0015126,0.00206343,0.00228128,0.00216669,0.00171785,0.00153285,0.00163577,0.00244743,0.00272364,0.001737,0.00189119,0.00233472,0.00201682,0.00170171,0.00185331,0.00213067,0.00212492,0.00221186,0.00225764,0.00236045,0.00193995,0.001614
2,Story Drift Ratio,3,1,0.00166728,0.00146457,0.00131203,0.00158146,0.00190951,0.00139973,0.00169362,0.00156295,0.00139501,0.00159626,0.00142044,0.00156394,0.00163578,0.00178328,0.00149402,0.00146715,0.00126785,0.00143335,0.00135454,0.00141473,0.00138212,0.00173774
2,Story Drift Ratio,3,2,0.0013125,0.00177267,0.00179418,0.00171308,0.0013651,0.00125315,0.00143747,0.0019242,0.00228857,0.00139622,0.00150937,0.00195348,0.00176424,0.00138674,0.00147491,0.00168327,0.00177194,0.00186019,0.00179546,0.00194204,0.00155511,0.00137478
2,Acceleration,1,1,0.130007,0.147383,0.0828712,0.143821,0.111453,0.139105,0.133552,0.19668,0.110472,0.0661333,0.048482,0.0989584,0.182053,0.073609,0.190928,0.0648855,0.0628387,0.148493,0.0930556,0.14194,0.0623229,0.0842416
2,Acceleration,1,2,0.112749,0.129771,0.122955,0.148007,0.0812673,0.0838112,0.114265,0.129485,0.162383,0.0410438,0.0533531,0.115635,0.17493,0.0763391,0.121961,0.0757594,0.0736203,0.159086,0.101418,0.137058,0.0770476,0.11998
2,Acceleration,2,1,0.138381,0.11167,0.0852487,0.109737,0.113519,0.0898512,0.110005,0.231377,0.0838603,0.0865022,0.0597272,0.0798599,0.250509,0.11752,0.140957,0.0941909,0.0559934,0.154449,0.0626352,0.122322,0.0633053,0.113484
2,Acceleration,2,2,0.10118,0.175397,0.13768,0.111493,0.0813382,0.0750276,0.105255,0.122388,0.215313,0.0685292,0.0649672,0.143526,0.177759,0.0838076,0.0962961,0.102374,0.127068,0.192431,0.134454,0.211479,0.0908509,0.165019
2,Acceleration,3,1,0.130112,0.10677,0.0711134,0.12386,0.151779,0.0796484,0.125463,0.173559,0.0743931,0.112238,0.0813963,0.0974442,0.164424,0.127558,0.129506,0.0810433,0.0664781,0.123057,0.062415,0.0937833,0.0811406,0.126837
