Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.0365911
2,Intensity 2,22,0,0.1,0.4,0.00185937
3,Intensity 3,22,0,0.12,0.4,0.00141759
4,Intensity 4,22,0,0.14,0.4,0.00112176
5,Intensity 5,22,0,0.16,0.4,0.000912618
6,Intensity 6,22,0,0.18,0.4,0.000758612
7,Intensity 7,22,0,0.2,0.4,0.000641534
8,Intensity 8,22,0,0.22,0.4,0.00055022
9,Intensity 9,22,0,0.24,0.4,0.000477486
10,Intensity 10,22,0,0.26,0.4,0.000418522
11,Intensity 11,22,0,0.28,0.4,0.000369999
12,Intensity 12,22,0,0.3,0.4,0.00032955
13,Intensity 13,22,0,0.32,0.4,0.000295452
14,Intensity 14,22,0,0.34,0.4,0.000266421
15,Intensity 15,22,0,0.36,0.4,0.000241489
16,Intensity 16,22,0,0.38,0.4,0.000219909
17,Intensity 17,22,0,0.4,0.4,0.000201099
18,Intensity 18,22,0,0.5,0.4,0.000135336
19,Intensity 19,22,0,0.6,0.4,9.70679e-05
20,Intensity 20,22,0,0.7,0.4,7.28231e-05
21,Intensity 21,22,0,0.8,0.4,5.64987e-05
22,Intensity 22,22,0,0.9,0.4,4.49916e-05
23,Intensity 23,22,0,1,0.4,3.65839e-05
24,Intensity 24,22,0,1.1,0.4,3.02611e-05
25,Intensity 25,22,0,1.2,0.4,2.53917e-05
26,Intensity 26,22,0,1.5,0.4,1.60319e-05
27,Intensity 27,22,0,2,0.4,8.66892e-06
28,Intensity 28,22,0,3,0.4,3.48417e-06
29,Intensity 29,22,0,4,0.4,1.76335e-06
30,Intensity 30,22,0,5,0.4,1.01815e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
1,Story Drift Ratio,1,1,0.000605645,0.00086126,0.00056295,0.000717353,0.000518611,0.000697595,0.000788361,0.000453805,0.000525479,0.000860861,0.000832084,0.000830235,0.000836587,0.000852607,0.000535773,0.000704177,0.000634876,0.000608409,0.000769782,0.00062213,0.000567093,0.000845025
1,Story Drift Ratio,1,2,0.000761111,0.0006387,0.000722371,0.000505712,0.00079674,0.000752526,0.000491277,0.00118042,0.000923947,0.000424775,0.000660343,0.000502481,0.000603894,0.000512472,0.000937394,0.000594256,0.000901135,0.000774357,0.000549621,0.000826689,0.000724848,0.000534257
1,Story Drift Ratio,2,1,0.000513731,0.000731161,0.000516915,0.000646197,0.000479044,0.00058729,0.000704618,0.000364292,0.000459397,0.00078128,0.000704912,0.000749,0.000749165,0.000771449,0.000457495,0.00062412,0.000548104,0.000547556,0.000643795,0.000549786,0.000509449,0.000771241
1,Story Drift Ratio,2,2,0.000682135,0.000548502,0.000641937,0.000430705,0.000711585,0.000665632,0.00043905,0.0010565,0.000823333,0.000383775,0.000570387,0.000446798,0.000542998,0.000495187,0.000804052,0.000528599,0.000796329,0.000673886,0.000488539,0.000745895,0.000655332,0.000453494
1,Story Drift Ratio,3,1,0.000481724,0.000646451,0.000518639,0.00064228,0.000476167,0.00056034,0.000689041,0.000288174,0.000410761,0.000772459,0.000623304,0.000744736,0.000730773,0.000760813,0.000408219,0.000595287,0.000511347,0.000538335,0.000598497,0.000523728,0.00049113,0.000773251
1,Story Drift Ratio,3,2,0.00067248,0.000584579,0.000626369,0.000408199,0.000699211,0.00063362,0.000442498,0.00103342,0.000802329,0.000382085,0.000518787,0.000434514,0.000531285,0.000528608,0.000751815,0.000510288,0.000753061,0.000624724,0.000472911,0.000733171,0.000674407,0.000427755
1,Story Drift Ratio,4,1,0.000505009,0.000577897,0.000538031,0.000671485,0.000478091,0.000602978,0.00076189,0.000294336,0.00038801,0.000789024,0.000690253,0.000772397,0.000764219,0.000775971,0.000375757,0.000590429,0.00050795,0.00054907,0.000673015,0.000532962,0.000486253,0.000791416
1,Story Drift Ratio,4,2,0.000689547,0.000606662,0.000631908,0.000430436,0.000717168,0.000615462,0.000471001,0.00104517,0.000807707,0.00039867,0.000510716,0.00043622,0.00053321,0.000554969,0.000750397,0.000525459,0.000734783,0.000670335,0.000470831,0.000748891,0.000728532,0.000436056
1,Story Drift Ratio,5,1,0.000496988,0.000623756,0.000519582,0.000656797,0.000450034,0.000592541,0.000790009,0.000305244,0.000386328,0.000772892,0.000793665,0.000752708,0.00074517,0.000756263,0.000371479,0.000543514,0.00048572,0.000520855,0.000729802,0.000502212,0.000450191,0.00073253
1,Story Drift Ratio,5,2,0.000655288,0.000545295,0.000626178,0.000409391,0.000683787,0.000565694,0.000439612,0.000972321,0.000744742,0.000402907,0.000572753,0.000406243,0.000500821,0.000509791,0.000697472,0.000534261,0.000657764,0.000715893,0.000509071,0.000713466,0.000721676,0.000452982
1,Story Drift Ratio,6,1,0.000508474,0.00071462,0.000493586,0.000639383,0.000450824,0.000574006,0.0007776,0.000329629,0.000456388,0.000795533,0.000859576,0.0007198,0.00071242,0.000764814,0.0004346,0.000497248,0.000475166,0.000486454,0.00073747,0.000459727,0.000444844,0.000768649
1,Story Drift Ratio,6,2,0.000609968,0.000514392,0.000610749,0.000352558,0.000640329,0.00051236,0.000457733,0.000881967,0.000652426,0.000422642,0.000693257,0.000396169,0.000521621,0.000430243,0.000671945,0.000543705,0.000598305,0.000741884,0.000617085,0.000667423,0.000682678,0.000498686
1,Story Drift Ratio,7,1,0.00062072,0.00082966,0.000509564,0.000696754,0.000507113,0.000585659,0.000802036,0.000355395,0.000603105,0.00087655,0.000990449,0.000736357,0.000741363,0.000848798,0.000539486,0.000498203,0.000518215,0.000498105,0.000801006,0.000449914,0.000479406,0.000922368
1,Story Drift Ratio,7,2,0.000612464,0.000650276,0.00064283,0.000394279,0.000648904,0.000562123,0.000561111,0.000881777,0.000860889,0.000525113,0.000870391,0.000437785,0.0005868,0.000452271,0.00070208,0.000607189,0.000634977,0.000849665,0.000826059,0.000673638,0.000676241,0.000514735
1,Story Drift Ratio,8,1,0.000676352,0.000852625,0.00052956,0.00071227,0.000589891,0.000553115,0.00083058,0.000415355,0.000689875,0.000892615,0.00103457,0.000716032,0.000790033,0.000868947,0.000589974,0.000484056,0.000529237,0.000555473,0.000829258,0.00045617,0.000511443,0.000995532
1,Story Drift Ratio,8,2,0.000590291,0.000871721,0.000638314,0.000481709,0.000630011,0.000592766,0.000610917,0.000868768,0.00102305,0.000584373,0.000944821,0.00053651,0.000589192,0.000555415,0.000698543,0.000636147,0.00065218,0.000896721,0.000925284,0.000653395,0.000639264,0.000631386
1,Story Drift Ratio,9,1,0.000551455,0.000659151,0.000447086,0.000561091,0.00050154,0.000433271,0.000674174,0.000399045,0.000601102,0.000699293,0.000823608,0.000546657,0.000639091,0.000682082,0.000477541,0.000370584,0.000411125,0.000554278,0.000660325,0.000359821,0.000419434,0.000813723
1,Story Drift Ratio,9,2,0.000441188,0.000806467,0.000493173,0.000423168,0.000473679,0.000478732,0.000535287,0.000668373,0.000875124,0.000485349,0.000766433,0.000471095,0.000451276,0.000492066,0.000541379,0.000516002,0.000518327,0.000716064,0.000757854,0.0004979,0.000510784,0.000629841
1,Acceleration,1,1,0.0247523,0.0746347,0.0145024,0.0248864,0.0167475,0.0284102,0.0569418,0.0443809,0.0413372,0.0220494,0.0237145,0.0226854,0.0273989,0.0186155,0.0442729,0.0106472,0.00930627,0.0455983,0.0355569,0.0182376,0.0211796,0.0442643
1,Acceleration,1,2,0.0214666,0.0657156,0.0215171,0.0256107,0.0122117,0.0171172,0.0487182,0.0292183,0.0607623,0.0136844,0.026097,0.0265085,0.0263268,0.019306,0.0282807,0.0124315,0.010903,0.0488508,0.0387523,0.0176104,0.0261836,0.0630426
1,Acceleration,2,1,0.0159431,0.0294991,0.00846922,0.0105134,0.0099438,0.0121325,0.0285884,0.0187363,0.0261377,0.0142643,0.0168096,0.0155126,0.0135586,0.0158627,0.0156241,0.00848204,0.00728299,0.0218876,0.0223804,0.00719392,0.0103661,0.0342834
1,Acceleration,2,2,0.0116461,0.0465892,0.0149939,0.0122052,0.00681301,0.0108827,0.0274877,0.015154,0.0388125,0.013302,0.0220162,0.0189201,0.00991015,0.0145869,0.0215523,0.0102451,0.010738,0.0272088,0.022644,0.0103588,0.0155576,0.0370722
1,Acceleration,3,1,0.0170162,0.0267946,0.0104027,0.00988491,0.009262,0.0152248,0.0225675,0.0158989,0.0226231,0.0154204,0.0215423,0.0146825,0.0142052,0.0165058,0.0120436,0.00748485,0.00856247,0.0217295,0.0241084,0.00837591,0.0104236,0.0275876
1,Acceleration,3,2,0.0132222,0.0473128,0.0155355,0.0111609,0.00719521,0.0108931,0.0200937,0.0161587,0.0364266,0.0129985,0.022286,0.0162454,0.00958982,0.0122074,0.0195364,0.0098869,0.0140524,0.0232783,0.0243728,0.00946509,0.0182059,0.0394459
1,Acceleration,4,1,0.0147112,0.0286034,0.0129772,0.0103722,0.00940681,0.0165148,0.0213756,0.0168214,0.0231472,0.0161978,0.0247147,0.0146819,0.0161073,0.0182064,0.0138254,0.0089803,0.0102794,0.0200424,0.0233366,0.0094418,0.0109602,0.0223953
1,Acceleration,4,2,0.0132833,0.0400148,0.0157836,0.0107814,0.00838439,0.0119991,0.017689,0.0161881,0.0320211,0.0113351,0.0246025,0.0162363,0.010801,0.0124511,0.018644,0.00934813,0.0165536,0.020502,0.0254279,0.0100976,0.0176283,0.0358077
1,Acceleration,5,1,0.0156171,0.0275838,0.0134919,0.0110794,0.0094291,0.0168194,0.0214508,0.0150034,0.0205479,0.0153113,0.0273567,0.0124902,0.0164602,0.0205383,0.0138212,0.0104821,0.0113043,0.0193549,0.0202276,0.0111514,0.0101971,0.0243339
1,Acceleration,5,2,0.0117541,0.0424677,0.0141022,0.0102765,0.00978278,0.0139032,0.0234378,0.0177327,0.0304723,0.0115476,0.0224485,0.0158412,0.0138836,0.0152082,0.0189922,0.0116819,0.0182182,0.0208982,0.0235142,0.0112119,0.0153166,0.0317695
1,Acceleration,6,1,0.0172348,0.0251267,0.0120862,0.0120339,0.011129,0.0152245,0.02336,0.0158554,0.021547,0.0142339,0.0271649,0.0154273,0.016242,0.0224614,0.0155999,0.0115938,0.0113925,0.0204405,0.0177894,0.0127363,0.0105625,0.0275051
1,Acceleration,6,2,0.0117574,0.04674,0.0153137,0.0112822,0.0114137,0.0147405,0.0264253,0.0203583,0.033175,0.0126442,0.0206583,0.0131893,0.0152113,0.0193437,0.0190337,0.0142545,0.0187288,0.0221278,0.0199266,0.0130027,0.0132602,0.024726
1,Acceleration,7,1,0.0175245,0.0248727,0.0111192,0.0145168,0.0123055,0.0145209,0.0241004,0.0149854,0.0198535,0.0156161,0.0219666,0.0196354,0.0196262,0.0226493,0.0145608,0.0122761,0.0107145,0.0249139,0.0196712,0.0136859,0.0110645,0.0252124
1,Acceleration,7,2,0.0133627,0.051649,0.0138631,0.0127714,0.0132804,0.0145217,0.027498,0.0228929,0.0380531,0.0120547,0.0213483,0.0150299,0.0161967,0.0218413,0.0179614,0.0156001,0.0180559,0.0245852,0.0205623,0.0144502,0.0180818,0.0319691
1,Acceleration,8,1,0.0116606,0.0216898,0.0118387,0.0148195,0.0116592,0.0161574,0.0242836,0.0121128,0.0157341,0.0174668,0.0216981,0.0206807,0.0194533,0.019083,0.0105242,0.0124789,0.0108179,0.0251405,0.0239383,0.0130267,0.010947,0.0226464
1,Acceleration,8,2,0.0152665,0.0391122,0.0139071,0.0147681,0.0158024,0.0141589,0.020129,0.0240704,0.0328018,0.0121196,0.0229641,0.0129449,0.0142194,0.0186999,0.016044,0.0139636,0.0153653,0.0241788,0.0199625,0.0163161,0.0186602,0.0322372
1,Acceleration,9,1,0.017538,0.0286804,0.0138025,0.0192489,0.0136481,0.0175721,0.0251143,0.011019,0.0175392,0.0254776,0.0350875,0.0208319,0.0222337,0.0244374,0.0146896,0.0134452,0.0143444,0.0161322,0.024799,0.0126312,0.0131356,0.03273
1,Acceleration,9,2,0.0172785,0.0325055,0.0177404,0.0115854,0.0183544,0.0154454,0.015913,0.0251688,0.0333415,0.0138913,0.028564,0.0120583,0.0174405,0.0128417,0.0195431,0.0165407,0.0173477,0.0272831,0.0279635,0.0185815,0.019594,0.0212727
1,Acceleration,10,1,0.0277942,0.0337205,0.0212618,0.0255398,0.0241923,0.0202053,0.0433063,0.0201723,0.0374573,0.0353476,0.0573778,0.0250045,0.0340275,0.0338183,0.0223529,0.0149585,0.0178556,0.034622,0.0348523,0.015524,0.0189656,0.0607956
1,Acceleration,10,2,0.0187432,0.0634119,0.0217027,0.0204095,0.0202514,0.0211105,0.0321264,0.0314305,0.0722581,0.0223016,0.0504879,0.0235341,0.0196957,0.0243749,0.0233584,0.0238389,0.0233575,0.0399796,0.0521882,0.0208133,0.0283685,0.0437387
1,Residual Drift,,,8.71274e-06,3.53114e-05,4.66013e-05,8.07248e-05,2.49575e-05,2.81138e-05,3.91411e-05,3.06374e-05,6.23396e-05,0.000144364,6.18038e-05,0.000112274,4.38606e-05,5.95558e-05,5.61486e-05,6.66215e-05,8.17309e-06,3.59949e-05,7.73689e-06,1.62065e-05,1.82635e-05,1.23835e-05
2,Story Drift Ratio,1,1,0.00367343,0.00380513,0.00327121,0.00384575,0.00300311,0.00335215,0.00421769,0.00269361,0.00300498,0.00434064,0.00415623,0.00410458,0.0031556,0.00405638,0.00282046,0.00325586,0.00327607,0.0029181,0.00380287,0.00297521,0.00256267,0.00416929
2,Story Drift Ratio,1,2,0.00318123,0.00389643,0.00351797,0.00316538,0.00387102,0.00359981,0.00287354,0.00450861,0.00512865,0.00296412,0.00317537,0.00264315,0.00328194,0.00309392,0.00502604,0.0031261,0.0037619,0.00359029,0.0031654,0.00332467,0.00383482,0.00352094
2,Story Drift Ratio,2,1,0.00324776,0.00343457,0.00292265,0.00350423,0.00268733,0.00296969,0.00386284,0.00238955,0.00267779,0.00397079,0.00377501,0.00371157,0.00291386,0.00371539,0.00245256,0.00291038,0.00290321,0.00252328,0.00346359,0.00265291,0.0023355,0.00381595
