Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,10,0,0.178897,0.4,0.000766014
2,Intensity 2,10,0,0.262138,0.4,0.000412885
3,Intensity 3,10,0,0.0822476,0.4,0.00247084
4,Intensity 4,10,0,0.239358,0.4,0.000479586
5,Intensity 5,10,0,0.208737,0.4,0.000598966
6,Intensity 6,10,0,0.139806,0.4,0.00112415
7,Intensity 7,10,0,0.290787,0.4,0.000347302
8,Intensity 8,10,0,0.148982,0.4,0.00101942
9,Intensity 9,10,0,0.127844,0.4,0.00128833
10,Intensity 10,10,0,0.112288,0.4,0.00156593
11,Intensity 11,10,0,0.148803,0.4,0.0010213
12,Intensity 12,10,0,0.0465974,0.4,0.00544739
13,Intensity 13,10,0,0.0549988,0.4,0.00434852
14,Intensity 14,10,0,0.149747,0.4,0.00101138
15,Intensity 15,10,0,0.152867,0.4,0.000979622
16,Intensity 16,10,0,0.142509,0.4,0.0010916
17,Intensity 17,10,0,0.331842,0.4,0.000277719
18,Intensity 18,10,0,0.0596193,0.4,0.00389087
19,Intensity 19,10,0,0.0347233,0.4,0.00804131
20,Intensity 20,10,0,0.171942,0.4,0.000815404
21,Intensity 21,10,0,0.395015,0.4,0.000205555
22,Intensity 22,10,0,0.305373,0.4,0.000319827
23,Intensity 23,10,0,0.129298,0.4,0.00126641
24,Intensity 24,10,0,0.148695,0.4,0.00102246
25,Intensity 25,10,0,0.123123,0.4,0.00136377
26,Intensity 26,10,0,0.246064,0.4,0.000458331
27,Intensity 27,10,0,0.110895,0.4,0.00159536
28,Intensity 28,10,0,0.160823,0.4,0.000905346
29,Intensity 29,10,0,0.110746,0.4,0.00159855
30,Intensity 30,10,0,0.0741475,0.4,0.00286549
31,Intensity 31,10,0,0.129181,0.4,0.00126816
32,Intensity 32,10,0,0.119761,0.4,0.00142184
33,Intensity 33,10,0,0.143292,0.4,0.00108244
34,Intensity 34,10,0,0.201959,0.4,0.000631591
35,Intensity 35,10,0,0.732246,0.4,6.68829e-05
36,Intensity 36,10,0,0.118334,0.4,0.0014477
37,Intensity 37,10,0,0.128772,0.4,0.00127427
38,Intensity 38,10,0,0.235263,0.4,0.00049332
39,Intensity 39,10,0,0.158897,0.4,0.000922498
40,Intensity 40,10,0,0.133778,0.4,0.00120247
41,Intensity 41,10,0,0.191798,0.4,0.000685913
42,Intensity 42,10,0,0.0879867,0.4,0.00224156
43,Intensity 43,10,0,0.173634,0.4,0.000802939
44,Intensity 44,10,0,0.313268,0.4,0.000306307
45,Intensity 45,10,0,0.20338,0.4,0.000624526
46,Intensity 46,10,0,0.485636,0.4,0.000142616
47,Intensity 47,10,0,0.396491,0.4,0.00020422
48,Intensity 48,10,0,0.541744,0.4,0.000117048
49,Intensity 49,10,0,0.224485,0.4,0.000532492
50,Intensity 50,10,0,0.202718,0.4,0.000627804
51,Intensity 51,10,0,0.203817,0.4,0.000622381
52,Intensity 52,10,0,0.267818,0.4,0.00039846
53,Intensity 53,10,0,0.280476,0.4,0.000368951
54,Intensity 54,10,0,0.19906,0.4,0.000646389
55,Intensity 55,10,0,0.117557,0.4,0.00146208
56,Intensity 56,10,0,0.125075,0.4,0.00133175
57,Intensity 57,10,0,0.198319,0.4,0.000650259
58,Intensity 58,10,0,0.524526,0.4,0.00012412
59,Intensity 59,10,0,0.130418,0.4,0.00124993
60,Intensity 60,10,0,0.088297,0.4,0.00223015
61,Intensity 61,10,0,0.13175,0.4,0.00123077
62,Intensity 62,10,0,0.150077,0.4,0.00100795
63,Intensity 63,10,0,0.156122,0.4,0.000948119
64,Intensity 64,10,0,0.513711,0.4,0.000128889
65,Intensity 65,10,0,0.17676,0.4,0.000780683
66,Intensity 66,10,0,0.107067,0.4,0.00168091
67,Intensity 67,10,0,0.142133,0.4,0.00109604
68,Intensity 68,10,0,0.244053,0.4,0.000464549
69,Intensity 69,10,0,0.305098,0.4,0.000320313
70,Intensity 70,10,0,0.358599,0.4,0.000243119
71,Intensity 71,10,0,0.491882,0.4,0.000139381
72,Intensity 72,10,0,0.203831,0.4,0.000622312
73,Intensity 73,10,0,0.184638,0.4,0.000728668
74,Intensity 74,10,0,0.204387,0.4,0.000619598
75,Intensity 75,10,0,0.181381,0.4,0.000749496
76,Intensity 76,10,0,0.318696,0.4,0.000297508
77,Intensity 77,10,0,0.160924,0.4,0.000904469
78,Intensity 78,10,0,0.237757,0.4,0.000484885
79,Intensity 79,10,0,0.186603,0.4,0.000716531
80,Intensity 80,10,0,0.256239,0.4,0.000428728
81,Intensity 81,10,0,0.188944,0.4,0.000702474
82,Intensity 82,10,0,0.163786,0.4,0.000879918
83,Intensity 83,10,0,0.122536,0.4,0.00137364
