Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,10,0,0.0307142,0.4,0.00942405
2,Intensity 2,10,0,0.0287479,0.4,0.0102567
3,Intensity 3,10,0,0.0305223,0.4,0.00950022
4,Intensity 4,10,0,0.12549,0.4,0.0013251
5,Intensity 5,10,0,0.0720879,0.4,0.0029823
6,Intensity 6,10,0,0.186561,0.4,0.000716788
7,Intensity 7,10,0,0.0180294,0.4,0.0183166
8,Intensity 8,10,0,0.0275561,0.4,0.0108243
9,Intensity 9,10,0,0.281978,0.4,0.000365671
10,Intensity 10,10,0,0.216827,0.4,0.000563318
11,Intensity 11,10,0,0.220455,0.4,0.000548379
12,Intensity 12,10,0,0.0295665,0.4,0.00989548
13,Intensity 13,10,0,0.0163032,0.4,0.020678
14,Intensity 14,10,0,0.0796959,0.4,0.00258517
15,Intensity 15,10,0,0.0933529,0.4,0.00205661
16,Intensity 16,10,0,0.104086,0.4,0.00175271
17,Intensity 17,10,0,0.105658,0.4,0.00171425
18,Intensity 18,10,0,0.12528,0.4,0.00132845
19,Intensity 19,10,0,0.0875398,0.4,0.00225816
20,Intensity 20,10,0,0.0374473,0.4,0.00728506
21,Intensity 21,10,0,0.0274845,0.4,0.0108601
22,Intensity 22,10,0,0.0486197,0.4,0.00514385
23,Intensity 23,10,0,0.0614264,0.4,0.00373297
24,Intensity 24,10,0,0.0568262,0.4,0.00415744
25,Intensity 25,10,0,0.0258359,0.4,0.0117436
26,Intensity 26,10,0,0.0394352,0.4,0.00680527
27,Intensity 27,10,0,0.0199155,0.4,0.016226
28,Intensity 28,10,0,0.0498923,0.4,0.0049669
29,Intensity 29,10,0,0.05099,0.4,0.0048222
30,Intensity 30,10,0,0.0416663,0.4,0.00632664
31,Intensity 31,10,0,0.0850135,0.4,0.00235585
32,Intensity 32,10,0,0.231946,0.4,0.000504891
33,Intensity 33,10,0,0.0442038,0.4,0.00584695
34,Intensity 34,10,0,0.147535,0.4,0.00103489
35,Intensity 35,10,0,0.0755705,0.4,0.00278907
36,Intensity 36,10,0,0.027434,0.4,0.0108855
37,Intensity 37,10,0,0.0170143,0.4,0.0196444
38,Intensity 38,10,0,0.0265541,0.4,0.0113442
39,Intensity 39,10,0,0.0365563,0.4,0.00751882
40,Intensity 40,10,0,0.0182291,0.4,0.0180736
41,Intensity 41,10,0,0.0119992,0.4,0.0296793
42,Intensity 42,10,0,0.0245427,0.4,0.0125263
43,Intensity 43,10,0,0.0569701,0.4,0.00414299
44,Intensity 44,10,0,0.036693,0.4,0.00748216
45,Intensity 45,10,0,0.0377919,0.4,0.00719791
46,Intensity 46,10,0,0.0412684,0.4,0.00640781
47,Intensity 47,10,0,0.0559186,0.4,0.00425058
48,Intensity 48,10,0,0.065516,0.4,0.00341198
49,Intensity 49,10,0,0.0398025,0.4,0.00672239
50,Intensity 50,10,0,0.0609233,0.4,0.00377586
51,Intensity 51,10,0,0.0442328,0.4,0.00584181
52,Intensity 52,10,0,0.0742282,0.4,0.00286107
53,Intensity 53,10,0,0.0123303,0.4,0.0287554
54,Intensity 54,10,0,0.178939,0.4,0.000765734
55,Intensity 55,10,0,0.267443,0.4,0.000399388
56,Intensity 56,10,0,0.47026,0.4,0.000151071
57,Intensity 57,10,0,0.306818,0.4,0.000317284
58,Intensity 58,10,0,0.0640047,0.4,0.00352516
59,Intensity 59,10,0,0.122843,0.4,0.00136847
60,Intensity 60,10,0,0.0138622,0.4,0.0250723
61,Intensity 61,10,0,0.10454,0.4,0.00174145
62,Intensity 62,10,0,0.434338,0.4,0.000173985
63,Intensity 63,10,0,0.0126181,0.4,0.027993
64,Intensity 64,10,0,0.224654,0.4,0.000531844
65,Intensity 65,10,0,0.0761878,0.4,0.00275693
66,Intensity 66,10,0,0.0709905,0.4,0.00304772
67,Intensity 67,10,0,0.156817,0.4,0.000941607
68,Intensity 68,10,0,0.0660271,0.4,0.00337504
69,Intensity 69,10,0,0.38403,0.4,0.000215913
70,Intensity 70,10,0,0.489352,0.4,0.000140678
71,Intensity 71,10,0,0.316898,0.4,0.000300381
