Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.110144
2,Intensity 2,22,0,0.1,0.4,0.00624518
3,Intensity 3,22,0,0.2,0.4,0.00224004
4,Intensity 4,22,0,0.3,0.4,0.00117889
5,Intensity 5,22,0,0.4,0.4,0.000732385
6,Intensity 6,22,0,0.5,0.4,0.000499997
7,Intensity 7,22,0,0.6,0.4,0.00036295
8,Intensity 8,22,0,0.7,0.4,0.000275134
9,Intensity 9,22,0,0.8,0.4,0.000215421
10,Intensity 10,22,0,0.9,0.4,0.000172959
11,Intensity 11,22,0,1,0.4,0.000141689
12,Intensity 12,22,0,1.1,0.4,0.000118003
13,Intensity 13,22,0,1.2,0.4,9.96407e-05
14,Intensity 14,22,0,1.5,0.4,6.3958e-05
15,Intensity 15,22,0,2,0.4,3.53536e-05
16,Intensity 16,22,0,3,0.4,1.46789e-05
17,Intensity 17,22,0,4,0.4,7.61118e-06
18,Intensity 18,22,0,5,0.4,4.48111e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
1,Story Drift Ratio,1,1,9.88101e-05,5.55473e-05,7.85876e-05,7.07935e-05,0.000114768,8.41469e-05,7.42541e-05,7.82812e-05,5.69889e-05,0.000110426,7.39456e-05,6.24457e-05,6.53014e-05,7.29111e-05,8.2468e-05,7.15167e-05,8.09963e-05,6.66839e-05,7.03082e-05,8.65748e-05,8.14931e-05,0.000100561
1,Story Drift Ratio,1,2,7.42754e-05,9.71737e-05,8.47479e-05,9.26065e-05,4.67983e-05,7.84866e-05,7.64155e-05,8.21241e-05,0.000115623,6.34014e-05,7.82628e-05,9.40807e-05,7.94583e-05,8.06566e-05,8.41448e-05,8.90687e-05,7.89111e-05,8.0866e-05,9.81256e-05,7.83809e-05,8.67734e-05,6.56067e-05
1,Story Drift Ratio,2,1,0.000115327,7.14577e-05,0.00010069,8.39401e-05,0.000134082,0.000102869,8.95522e-05,9.19425e-05,6.8606e-05,0.000120392,9.02024e-05,7.27666e-05,7.41223e-05,8.46408e-05,9.28657e-05,7.96701e-05,8.89612e-05,8.59476e-05,9.06727e-05,0.000106496,8.78247e-05,0.00011066
1,Story Drift Ratio,2,2,9.28057e-05,0.000113066,0.000103043,0.000111628,5.58518e-05,8.91676e-05,9.84623e-05,9.43216e-05,0.00012943,8.06996e-05,8.65687e-05,0.000114668,9.68278e-05,0.000101193,0.000105726,9.90253e-05,9.6441e-05,0.00010415,0.000107906,8.46765e-05,0.000105539,8.60384e-05
1,Story Drift Ratio,3,1,0.000119897,8.52665e-05,0.000113942,9.45551e-05,0.000153861,0.000123096,0.000101551,0.000105236,8.41783e-05,0.000123412,0.000101266,8.72841e-05,9.40377e-05,0.000101176,0.00010862,9.57434e-05,9.68834e-05,9.89073e-05,0.000102741,0.000117884,9.17572e-05,0.000114965
1,Story Drift Ratio,3,2,0.00010204,0.000129283,0.000115043,0.000119994,6.98179e-05,9.96539e-05,0.000114406,0.000105286,0.000138947,9.07379e-05,9.77883e-05,0.000123815,0.000110641,0.000112924,0.000120645,0.000108621,0.000104767,0.000122219,0.00011229,9.25133e-05,0.000115013,0.000112628
1,Acceleration,1,1,0.0119225,0.00703347,0.00416987,0.00891828,0.00931217,0.0121693,0.005494,0.0116968,0.00427431,0.00671767,0.0052241,0.00458713,0.00585315,0.00350637,0.0131252,0.00543483,0.00471152,0.00750181,0.00686306,0.00830039,0.00792523,0.00659563
1,Acceleration,1,2,0.0103399,0.00619295,0.00618681,0.00917783,0.0067901,0.00733206,0.00470055,0.00770066,0.00628287,0.00416913,0.00574898,0.00536018,0.00562413,0.00363642,0.00838414,0.00634564,0.0055199,0.00803691,0.00747982,0.00801493,0.00979769,0.0093937
1,Acceleration,2,1,0.0115268,0.00648712,0.00652509,0.00749584,0.010036,0.00855632,0.00526874,0.0102227,0.0033593,0.00824004,0.00537841,0.00412629,0.00491444,0.00410106,0.0105487,0.00592802,0.00592818,0.00655993,0.00725988,0.00758439,0.00648599,0.00770101
1,Acceleration,2,2,0.0122228,0.00806563,0.00754231,0.0102246,0.00533581,0.00726433,0.00575008,0.00723195,0.0118356,0.004344,0.00681885,0.00578408,0.00554189,0.00548891,0.00928116,0.0069431,0.00598627,0.00712769,0.00702435,0.0109312,0.00796504,0.00906572
1,Acceleration,3,1,0.0133346,0.00743592,0.0100783,0.00801273,0.0142285,0.00812425,0.00757599,0.00832524,0.00475617,0.0111456,0.00702905,0.00597092,0.0069507,0.00726719,0.0114353,0.00707486,0.00808081,0.00721592,0.00652655,0.011408,0.00834649,0.00837097
1,Acceleration,3,2,0.0126558,0.0110029,0.0108955,0.0128645,0.00464269,0.00833502,0.00914418,0.00940153,0.0169923,0.00577916,0.00864163,0.00953047,0.00943367,0.00818728,0.0108742,0.0101192,0.00820698,0.00976349,0.00950526,0.0121025,0.0107033,0.00999684
1,Acceleration,4,1,0.0195409,0.00863597,0.0129683,0.0109891,0.0184902,0.0146656,0.0101554,0.0186844,0.00856149,0.0145059,0.010772,0.00902491,0.00951398,0.0112648,0.0154874,0.01101,0.00997244,0.00915112,0.00985148,0.0138039,0.0127333,0.014292
1,Acceleration,4,2,0.0158787,0.0171022,0.0121735,0.0144994,0.00987674,0.0109313,0.0112087,0.0109888,0.0176261,0.00874884,0.0102944,0.0132621,0.0120739,0.0103879,0.0126788,0.013615,0.0107034,0.0134391,0.0138472,0.0137736,0.0116487,0.0137208
1,Residual Drift,,,4.75587e-06,4.75599e-06,4.73249e-06,4.86259e-06,4.75036e-06,4.11628e-06,4.84508e-06,4.79935e-06,4.54956e-06,4.81647e-06,5.02121e-06,4.87284e-06,4.75659e-06,4.76129e-06,4.83566e-06,4.67606e-06,4.71372e-06,4.74668e-06,4.76524e-06,4.75972e-06,4.71801e-06,4.75672e-06
2,Story Drift Ratio,1,1,0.000428791,0.000243064,0.000297082,0.000317132,0.000465057,0.000358514,0.000288735,0.000296452,0.000252685,0.00042438,0.00035569,0.000291716,0.000297987,0.000292909,0.00040008,0.00034368,0.00028763,0.000323817,0.000269788,0.000300278,0.000333666,0.000394286
2,Story Drift Ratio,1,2,0.00036104,0.000371908,0.000315027,0.000339319,0.000349803,0.000336444,0.000284869,0.000376186,0.000408146,0.000295073,0.000326725,0.000342001,0.000300576,0.000292133,0.000341,0.000376363,0.000361546,0.00035309,0.000355155,0.000368971,0.000372541,0.000419428
2,Story Drift Ratio,2,1,0.000509876,0.000285145,0.000344305,0.000345427,0.000487542,0.0004509,0.00032774,0.000362184,0.000270718,0.000446707,0.000417065,0.000330228,0.000343787,0.000321769,0.000431307,0.000404919,0.000318082,0.000388225,0.00029515,0.000318329,0.000375554,0.000452061
2,Story Drift Ratio,2,2,0.000402001,0.000440788,0.000336022,0.000384913,0.000412698,0.000405725,0.000330042,0.000401712,0.000478134,0.000339266,0.000373722,0.000399492,0.000358592,0.000335268,0.000378726,0.000421494,0.000427045,0.000426373,0.000402679,0.000359389,0.00043088,0.000494447
2,Story Drift Ratio,3,1,0.000612498,0.000327729,0.000357342,0.000382029,0.000529668,0.000580542,0.000364192,0.000528302,0.000282081,0.000459159,0.000463369,0.000371741,0.00037781,0.000354364,0.000453923,0.000487197,0.000362197,0.00048233,0.000325473,0.000379277,0.000415744,0.000490024
2,Story Drift Ratio,3,2,0.000441173,0.000509461,0.000374358,0.000450451,0.000513473,0.000520299,0.00035308,0.000409572,0.000542479,0.000365774,0.000450671,0.000417662,0.000388454,0.000369281,0.000398883,0.000464147,0.000479373,0.00050605,0.000463415,0.000436789,0.000519726,0.000649769
2,Acceleration,1,1,0.119225,0.0703347,0.0416987,0.0891828,0.0931217,0.121693,0.05494,0.116968,0.0427431,0.0671767,0.052241,0.0458713,0.0585315,0.0350637,0.131252,0.0543483,0.0471152,0.0750181,0.0686306,0.0830039,0.0792523,0.0659563
2,Acceleration,1,2,0.103399,0.0619295,0.0618681,0.0917783,0.067901,0.0733206,0.0470055,0.0770066,0.0628287,0.0416913,0.0574898,0.0536017,0.0562413,0.0363642,0.0838414,0.0634564,0.055199,0.0803691,0.0747982,0.0801493,0.0979769,0.093937
2,Acceleration,2,1,0.155695,0.0726248,0.0943581,0.115233,0.165611,0.191416,0.0693295,0.204991,0.0670142,0.126683,0.103602,0.089116,0.108188,0.0746644,0.169924,0.107566,0.0834469,0.16055,0.0874469,0.138931,0.1409,0.1266
2,Acceleration,2,2,0.1341,0.136017,0.114808,0.115894,0.089151,0.123995,0.0831056,0.100566,0.118366,0.0840208,0.139388,0.111321,0.0835869,0.0736701,0.128312,0.147912,0.103792,0.127619,0.130992,0.201005,0.161401,0.213291
2,Acceleration,3,1,0.193535,0.0725715,0.0897409,0.137386,0.193328,0.181692,0.0693796,0.231643,0.0525297,0.170985,0.110773,0.0706938,0.10817,0.087992,0.20221,0.128703,0.0957467,0.174337,0.079694,0.138855,0.116066,0.150172
2,Acceleration,3,2,0.145088,0.159992,0.10278,0.109448,0.142073,0.136167,0.0837783,0.129257,0.145168,0.0707293,0.150434,0.128699,0.0775153,0.0748837,0.108535,0.143713,0.131418,0.146361,0.126771,0.189367,0.167706,0.251742
2,Acceleration,4,1,0.346448,0.10584,0.116513,0.182398,0.238556,0.277139,0.104081,0.288366,0.0665834,0.200697,0.178031,0.126982,0.160872,0.11965,0.275812,0.197498,0.0987498,0.284024,0.0935256,0.155328,0.145829,0.201035
2,Acceleration,4,2,0.194873,0.220769,0.131759,0.170123,0.239843,0.255081,0.0943436,0.186823,0.250647,0.126101,0.192314,0.177894,0.127041,0.117452,0.134317,0.242325,0.18491,0.220836,0.164725,0.187077,0.292932,0.406333
2,Residual Drift,,,4.90869e-06,5.03972e-06,4.62317e-06,5.04681e-06,4.69471e-06,5.17948e-06,5.25007e-06,5.3615e-06,5.48954e-06,5.22934e-06,5.33021e-06,5.37799e-06,4.80481e-06,4.74286e-06,5.17842e-06,5.19081e-06,4.68843e-06,4.83056e-06,4.96044e-06,4.74797e-06,4.74837e-06,5.09797e-06
3,Story Drift Ratio,1,1,0.000622893,0.000364297,0.000412443,0.000547206,0.000637867,0.000515458,0.000424678,0.000499319,0.000344262,0.000604976,0.000511722,0.000414161,0.000445626,0.000411061,0.00062458,0.000469445,0.000400859,0.000492469,0.000412529,0.000422691,0.000519483,0.000559117
3,Story Drift Ratio,1,2,0.000499413,0.000529079,0.000431861,0.000551643,0.000511493,0.000505328,0.000400537,0.000521947,0.000594901,0.000484332,0.000478745,0.000494686,0.000419964,0.000416518,0.000545956,0.00049263,0.000472217,0.000498324,0.000487174,0.000556368,0.000577298,0.000676505
3,Story Drift Ratio,2,1,0.000736899,0.000441246,0.000488611,0.000553835,0.000731132,0.000629081,0.000498653,0.000679268,0.000375291,0.000672861,0.000610213,0.000477207,0.000496048,0.000449591,0.000688253,0.00053753,0.000458375,0.000602368,0.000428435,0.000483664,0.000583719,0.000603706
3,Story Drift Ratio,2,2,0.000561504,0.000629437,0.000474038,0.000613485,0.000593575,0.000613753,0.000459566,0.000597946,0.000685554,0.000567172,0.000594483,0.000580275,0.000505126,0.000499998,0.00059376,0.000589256,0.000562832,0.000603482,0.000532337,0.000573577,0.000672022,0.000840256
3,Story Drift Ratio,3,1,0.000977717,0.000550754,0.000526402,0.000641249,0.000918804,0.000910923,0.000595304,0.000978742,0.000449142,0.00079257,0.000760499,0.000630503,0.000672561,0.000504565,0.000747132,0.000734395,0.000523755,0.000854641,0.000555946,0.000603967,0.000716811,0.000741446
3,Story Drift Ratio,3,2,0.000786353,0.000807965,0.000602628,0.000833546,0.000836988,0.000829643,0.0005475,0.000743339,0.000834542,0.000643163,0.000817504,0.000638754,0.000602136,0.000589193,0.000638994,0.000790042,0.000708058,0.000779413,0.000668262,0.000812588,0.00088796,0.00119295
3,Acceleration,1,1,0.23845,0.14067,0.0833975,0.178366,0.186244,0.243386,0.10988,0.233937,0.0854862,0.134354,0.104482,0.0917426,0.117063,0.0701274,0.262504,0.108696,0.0942304,0.150037,0.137261,0.166008,0.158505,0.131912
3,Acceleration,1,2,0.206797,0.123859,0.123736,0.183557,0.135802,0.146641,0.094011,0.154013,0.125657,0.0833827,0.11498,0.107204,0.112482,0.0727285,0.167683,0.126912,0.110398,0.160738,0.149596,0.160299,0.195954,0.187874
3,Acceleration,2,1,0.371984,0.186211,0.206239,0.248431,0.255768,0.302418,0.17419,0.335385,0.169876,0.248916,0.204505,0.136402,0.236713,0.13006,0.386324,0.187442,0.144707,0.313113,0.173644,0.249992,0.260564,0.222954
3,Acceleration,2,2,0.326159,0.248557,0.245491,0.219739,0.197089,0.21697,0.159889,0.215166,0.179621,0.155415,0.278422,0.23797,0.164356,0.142644,0.204063,0.266935,0.187275,0.231818,0.181523,0.378049,0.309924,0.375405
3,Acceleration,3,1,0.425812,0.233123,0.221736,0.333791,0.381778,0.340291,0.184045,0.590027,0.156332,0.36207,0.282528,0.191482,0.267381,0.149103,0.571083,0.299365,0.213088,0.374507,0.251832,0.30815,0.280298,0.357809
3,Acceleration,3,2,0.392905,0.321323,0.218722,0.348957,0.34075,0.355084,0.189545,0.305047,0.360045,0.267127,0.349308,0.304445,0.184973,0.192432,0.250633,0.289802,0.250736,0.318445,0.256841,0.457742,0.499576,0.532591
3,Acceleration,4,1,0.766315,0.310094,0.279107,0.434746,0.627381,0.672396,0.296539,0.876037,0.186949,0.504745,0.483153,0.33281,0.423376,0.186281,0.740887,0.505083,0.259285,0.662536,0.341216,0.405693,0.513894,0.399378
3,Acceleration,4,2,0.479526,0.523094,0.353339,0.524266,0.578201,0.614295,0.241207,0.441546,0.5767,0.386886,0.543587,0.408141,0.300606,0.304518,0.385115,0.608534,0.356266,0.504245,0.354488,0.612453,0.784115,1.07619
3,Residual Drift,,,4.99342e-06,5.26294e-06,4.54095e-06,5.04814e-06,4.6217e-06,5.48397e-06,5.27055e-06,5.47288e-06,5.67623e-06,5.17868e-06,5.24499e-06,5.04647e-06,4.78197e-06,4.7888e-06,5.23022e-06,4.7948e-06,4.66258e-06,4.9142e-06,5.05448e-06,4.81071e-06,4.89572e-06,5.19944e-06
4,Story Drift Ratio,1,1,0.0008031,0.00048978,0.000508607,0.000722605,0.000789397,0.000659204,0.000535047,0.000718924,0.000413904,0.00074693,0.000649103,0.000539349,0.000560328,0.000505453,0.000792474,0.000552938,0.000504545,0.000622492,0.00048747,0.000578798,0.000671589,0.000682576
4,Story Drift Ratio,1,2,0.00060271,0.000647581,0.000521133,0.000674236,0.000642547,0.000640365,0.000497699,0.000654926,0.000713545,0.000599595,0.000619271,0.00061539,0.000508941,0.000517881,0.000788189,0.000655543,0.000588024,0.000615425,0.000587464,0.000685734,0.000735559,0.000884314
4,Story Drift Ratio,2,1,0.000963079,0.000583642,0.000609699,0.00075146,0.000925835,0.000798072,0.000620565,0.00100864,0.000467897,0.000862829,0.000761808,0.00060508,0.000631949,0.000551974,0.000887885,0.000593371,0.000571996,0.000781992,0.000516738,0.000666337,0.000766355,0.000718553
4,Story Drift Ratio,2,2,0.000691632,0.000771285,0.000626303,0.000736577,0.000685759,0.000776803,0.000560759,0.000726732,0.000824774,0.000712787,0.000782466,0.000713394,0.000605352,0.000631045,0.00085075,0.000786971,0.000644706,0.000730071,0.000638439,0.000834756,0.000864292,0.00108295
4,Story Drift Ratio,3,1,0.00135515,0.000778218,0.000694268,0.000905993,0.00124381,0.00115011,0.000811977,0.00144075,0.000613861,0.00110686,0.000997388,0.000848999,0.000908845,0.000654136,0.00101436,0.000816613,0.000682806,0.00113185,0.000747532,0.000872962,0.000981357,0.000885978
4,Story Drift Ratio,3,2,0.00113473,0.00105666,0.000891263,0.000957288,0.0010666,0.00113936,0.000724134,0.00097134,0.00102763,0.000873131,0.00111419,0.000844621,0.000762873,0.00076148,0.000974755,0.00104697,0.000897866,0.000999606,0.000810728,0.00116734,0.0012718,0.00150806
4,Acceleration,1,1,0.357675,0.211004,0.125096,0.267548,0.279365,0.36508,0.16482,0.350905,0.128229,0.20153,0.156723,0.137614,0.175594,0.105191,0.393755,0.163045,0.141346,0.225054,0.205892,0.249011,0.237757,0.197869
4,Acceleration,1,2,0.310196,0.185788,0.185604,0.275334,0.203703,0.219961,0.141016,0.23102,0.188486,0.125074,0.17247,0.160805,0.168724,0.109093,0.251524,0.190369,0.165596,0.241107,0.224394,0.240449,0.293931,0.281811
4,Acceleration,2,1,0.568209,0.272333,0.29324,0.390216,0.413579,0.4272,0.236422,0.54844,0.244819,0.318936,0.257309,0.200777,0.318227,0.181152,0.602272,0.238704,0.24203,0.436959,0.259426,0.356444,0.33708,0.333481
4,Acceleration,2,2,0.50793,0.346764,0.35524,0.321549,0.28848,0.334613,0.255762,0.30834,0.291684,0.21353,0.397517,0.346075,0.226661,0.171405,0.388032,0.331273,0.266029,0.295699,0.19625,0.445862,0.444575,0.477086
4,Acceleration,3,1,0.598913,0.378688,0.369205,0.526192,0.650369,0.497297,0.324623,0.991061,0.237008,0.540871,0.438084,0.318738,0.451669,0.214536,0.874854,0.390346,0.340575,0.549074,0.451208,0.578826,0.4848,0.47378
4,Acceleration,3,2,0.643042,0.488804,0.357379,0.44667,0.485563,0.58046,0.315314,0.494414,0.463702,0.406687,0.547039,0.466957,0.269372,0.309465,0.452659,0.477206,0.423546,0.472597,0.352847,0.666263,0.741471,0.786126
4,Acceleration,4,1,1.18769,0.557795,0.455067,0.816575,1.20293,1.04096,0.507732,1.56047,0.333376,0.915134,0.767888,0.563404,0.700979,0.343734,1.22775,0.619499,0.449581,1.01299,0.577488,0.783597,0.739779,0.597996
4,Acceleration,4,2,0.943039,0.860298,0.666832,0.694332,0.843067,1.03228,0.426733,0.721334,0.85966,0.651329,0.934895,0.628435,0.43605,0.529411,0.767589,0.996047,0.562698,0.794147,0.529407,1.07424,1.19051,1.5504
4,Residual Drift,,,5.02465e-06,5.34987e-06,4.45693e-06,5.12384e-06,4.63455e-06,5.28999e-06,5.27478e-06,5.45691e-06,5.70396e-06,5.04538e-06,5.09937e-06,5.22886e-06,4.74723e-06,4.8869e-06,5.23054e-06,4.46991e-06,4.61797e-06,4.98179e-06,5.08282e-06,5.00188e-06,5.11034e-06,5.13262e-06
5,Story Drift Ratio,1,1,0.000989785,0.000611549,0.000596758,0.000942484,0.000936418,0.000775982,0.000622108,0.000908498,0.000479125,0.000874259,0.000766477,0.000651511,0.000663736,0.000607752,0.00100598,0.00064938,0.000615777,0.000731957,0.000548178,0.000722185,0.000809618,0.000791944
5,Story Drift Ratio,1,2,0.00075771,0.000753368,0.000648471,0.000767136,0.000729503,0.000777365,0.000571429,0.000749108,0.000833299,0.000736272,0.000748784,0.000719717,0.000583699,0.000614767,0.00101369,0.000777194,0.000695978,0.000705082,0.000662352,0.000797378,0.000864126,0.0010483
5,Story Drift Ratio,2,1,0.00117115,0.000714509,0.000710065,0.000966979,0.00108832,0.000935995,0.000723801,0.0012764,0.000554844,0.00102682,0.000897932,0.000727875,0.000756036,0.000648297,0.00114516,0.000716916,0.000658588,0.000934393,0.000614411,0.000837535,0.000912579,0.000819463
