Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,10,0,0.25402,0.4,0.00154026
2,Intensity 2,10,0,0.910324,0.4,0.000169289
3,Intensity 3,10,0,0.312157,0.4,0.00110505
4,Intensity 4,10,0,0.368491,0.4,0.0008404
5,Intensity 5,10,0,0.411087,0.4,0.000699341
6,Intensity 6,10,0,0.130011,0.4,0.00427908
7,Intensity 7,10,0,1.58724,0.4,5.70343e-05
8,Intensity 8,10,0,0.632168,0.4,0.00033065
9,Intensity 9,10,0,0.782329,0.4,0.00022449
10,Intensity 10,10,0,0.701851,0.4,0.000273818
11,Intensity 11,10,0,0.780001,0.4,0.000225726
12,Intensity 12,10,0,0.527724,0.4,0.000455135
13,Intensity 13,10,0,0.245469,0.4,0.00162626
14,Intensity 14,10,0,0.322819,0.4,0.00104596
15,Intensity 15,10,0,0.26834,0.4,0.0014112
16,Intensity 16,10,0,0.408474,0.4,0.000706922
17,Intensity 17,10,0,1.77833,0.4,4.51708e-05
18,Intensity 18,10,0,0.485402,0.4,0.000526335
19,Intensity 19,10,0,0.238653,0.4,0.00170028
20,Intensity 20,10,0,0.234024,0.4,0.00175357
21,Intensity 21,10,0,0.709945,0.4,0.00026817
22,Intensity 22,10,0,0.613154,0.4,0.000349198
23,Intensity 23,10,0,0.308988,0.4,0.0011236
24,Intensity 24,10,0,0.354195,0.4,0.00089758
25,Intensity 25,10,0,0.39191,0.4,0.000758016
26,Intensity 26,10,0,0.339546,0.4,0.000962564
27,Intensity 27,10,0,0.261883,0.4,0.00146723
28,Intensity 28,10,0,0.396205,0.4,0.000744241
29,Intensity 29,10,0,0.626396,0.4,0.000336122
30,Intensity 30,10,0,0.191239,0.4,0.0023999
31,Intensity 31,10,0,0.242199,0.4,0.00166114
32,Intensity 32,10,0,0.45471,0.4,0.000588977
33,Intensity 33,10,0,0.333311,0.4,0.000992422
34,Intensity 34,10,0,0.344179,0.4,0.000941253
35,Intensity 35,10,0,0.732017,0.4,0.000253612
36,Intensity 36,10,0,0.368079,0.4,0.000841971
37,Intensity 37,10,0,0.34034,0.4,0.000958858
38,Intensity 38,10,0,0.422522,0.4,0.000667567
39,Intensity 39,10,0,0.303845,0.4,0.00115474
40,Intensity 40,10,0,0.278589,0.4,0.00132879
41,Intensity 41,10,0,0.344262,0.4,0.000940878
42,Intensity 42,10,0,0.289414,0.4,0.00124955
43,Intensity 43,10,0,0.362818,0.4,0.000862409
44,Intensity 44,10,0,0.348427,0.4,0.000922343
45,Intensity 45,10,0,0.25139,0.4,0.00156594
46,Intensity 46,10,0,1.09799,0.4,0.00011842
47,Intensity 47,10,0,0.902211,0.4,0.000172163
48,Intensity 48,10,0,0.804458,0.4,0.000213218
49,Intensity 49,10,0,0.60119,0.4,0.000361673
50,Intensity 50,10,0,0.800672,0.4,0.000215087
51,Intensity 51,10,0,1.23709,0.4,9.38704e-05
52,Intensity 52,10,0,1.42106,0.4,7.13019e-05
53,Intensity 53,10,0,0.334585,0.4,0.000986205
54,Intensity 54,10,0,0.568184,0.4,0.000399738
55,Intensity 55,10,0,0.625157,0.4,0.000337315
56,Intensity 56,10,0,1.05655,0.4,0.000127529
57,Intensity 57,10,0,0.394324,0.4,0.000750228
58,Intensity 58,10,0,1.57232,0.4,5.81405e-05
