Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.047582
2,Intensity 2,22,0,0.1,0.4,0.00249552
3,Intensity 3,22,0,0.2,0.4,0.000872671
4,Intensity 4,22,0,0.3,0.4,0.000452331
5,Intensity 5,22,0,0.4,0.4,0.000277948
6,Intensity 6,22,0,0.5,0.4,0.000188132
7,Intensity 7,22,0,0.6,0.4,0.000135604
8,Intensity 8,22,0,0.7,0.4,0.000102179
9,Intensity 9,22,0,0.8,0.4,7.95856e-05
10,Intensity 10,22,0,0.9,0.4,6.36032e-05
11,Intensity 11,22,0,1,0.4,5.18881e-05
12,Intensity 12,22,0,1.1,0.4,4.30515e-05
13,Intensity 13,22,0,1.2,0.4,3.62275e-05
14,Intensity 14,22,0,1.5,0.4,2.30487e-05
15,Intensity 15,22,0,2,0.4,1.25951e-05
16,Intensity 16,22,0,3,0.4,5.14541e-06
17,Intensity 17,22,0,4,0.4,2.63745e-06
18,Intensity 18,22,0,5,0.4,1.53907e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
1,Story Drift Ratio,1,1,0.00017326,0.000215478,0.000183711,0.000292302,0.000201832,0.000154484,0.000300303,0.000174755,0.000139372,0.000215077,0.000150274,0.000286716,0.000216658,0.000229178,0.000128889,0.000191399,0.000201479,0.000216177,0.000246186,0.000124843,0.000154634,0.000249268
1,Story Drift Ratio,1,2,0.000217912,0.000325973,0.000235895,0.000169937,0.00024388,0.000207034,0.00027224,0.000338843,0.000247388,0.00013892,0.000200923,0.000191119,0.000307752,0.00023628,0.000366955,0.000306087,0.000209028,0.000329772,0.000222185,0.000328161,0.000279834,0.000217668
1,Story Drift Ratio,2,1,0.000243794,0.000314649,0.000253785,0.000393853,0.000253981,0.000245095,0.000374705,0.00023232,0.000224956,0.000291247,0.000205368,0.00041164,0.000289462,0.000290371,0.00015925,0.000268005,0.000297747,0.000274289,0.000334545,0.000148644,0.000205398,0.000330905
1,Story Drift Ratio,2,2,0.000298102,0.000373777,0.000341195,0.000212366,0.000375165,0.0002645,0.000351853,0.000484119,0.000341536,0.000176859,0.000257512,0.000252305,0.00039994,0.000297636,0.000490716,0.000401643,0.000286099,0.000412154,0.000308752,0.00043504,0.000433152,0.000255304
1,Story Drift Ratio,3,1,0.000282591,0.00039435,0.000300447,0.000492186,0.000299834,0.000330244,0.000458479,0.000243347,0.000289441,0.000388296,0.000270149,0.000492686,0.000352409,0.000335047,0.000188959,0.000318475,0.000352508,0.000277501,0.000424808,0.000186946,0.000249897,0.000404385
1,Story Drift Ratio,3,2,0.000369337,0.000354778,0.000435137,0.000259367,0.000463866,0.000340378,0.000376379,0.000617424,0.000433657,0.000225089,0.000319874,0.000269889,0.000463949,0.000384518,0.000600496,0.000491052,0.000329779,0.000487314,0.000382211,0.000544845,0.000555835,0.000323621
1,Story Drift Ratio,4,1,0.000334722,0.000435678,0.000319588,0.000543937,0.00030879,0.000377904,0.000523334,0.00020652,0.000328247,0.000457249,0.000308009,0.000511736,0.000378185,0.000332894,0.000194295,0.000328828,0.000373473,0.000283081,0.000474373,0.000225455,0.000289084,0.000444761
1,Story Drift Ratio,4,2,0.000407243,0.000292757,0.000487363,0.000279225,0.000503437,0.000385988,0.000341856,0.00070028,0.000491664,0.000256349,0.000359436,0.000286147,0.00045679,0.000437755,0.00064454,0.000528659,0.000360011,0.000515625,0.00041962,0.000618883,0.000620254,0.000377021
1,Story Drift Ratio,5,1,0.000386835,0.000491489,0.000334943,0.000552253,0.000337123,0.000378329,0.000584719,0.00021363,0.000337901,0.000488894,0.000318242,0.000489724,0.00034398,0.000340984,0.000233861,0.000307497,0.000376379,0.000299221,0.000483091,0.000252887,0.000305703,0.000484748
1,Story Drift Ratio,5,2,0.000410645,0.000364579,0.000500235,0.000277811,0.000495728,0.000419302,0.000314836,0.000739823,0.000509019,0.000268464,0.00040048,0.000300395,0.000508637,0.000476188,0.00062929,0.000525551,0.000385401,0.000517245,0.000423238,0.000647593,0.000621542,0.000395382
1,Story Drift Ratio,6,1,0.000459759,0.000540002,0.000368732,0.000579918,0.000375935,0.000383096,0.000647284,0.000285538,0.000356024,0.000524385,0.000336113,0.000538536,0.000334794,0.000401689,0.000278265,0.000339315,0.000398464,0.000360308,0.00049618,0.000290218,0.000320248,0.00058549
1,Story Drift Ratio,6,2,0.000427728,0.000522283,0.000532736,0.000317426,0.00050244,0.000477767,0.000461307,0.00078677,0.000528806,0.00029043,0.000453225,0.000333465,0.000617924,0.000533958,0.000633439,0.000553222,0.00041942,0.000551143,0.000439038,0.000678128,0.000629795,0.000409385
1,Story Drift Ratio,7,1,0.000492892,0.000531689,0.000390294,0.000602894,0.00042774,0.000439461,0.000764339,0.000361438,0.000360781,0.000556511,0.000365383,0.000623592,0.000358971,0.000482223,0.000304295,0.000358686,0.000409574,0.000481805,0.00049515,0.000320479,0.000318155,0.000710236
1,Story Drift Ratio,7,2,0.000435424,0.000663214,0.000598516,0.000348766,0.000499672,0.000531509,0.000608935,0.000800441,0.000656001,0.000300736,0.000486218,0.000410028,0.000691391,0.000558551,0.000629634,0.000556688,0.000432993,0.000619294,0.000443661,0.000676925,0.000608852,0.000439104
1,Story Drift Ratio,8,1,0.000509127,0.000574203,0.000409435,0.000624699,0.000480481,0.000532029,0.000855113,0.000427832,0.000369102,0.000600976,0.000397528,0.000701902,0.000450322,0.000570652,0.00032397,0.000379576,0.000420233,0.000591069,0.000512781,0.000351874,0.000325746,0.000815978
1,Story Drift Ratio,8,2,0.00044513,0.000761317,0.000659178,0.000375008,0.000500948,0.00057225,0.00072336,0.000808794,0.000792913,0.000313327,0.000512233,0.000490819,0.000743753,0.000571016,0.000632021,0.000555318,0.000442123,0.000720148,0.000456265,0.000673854,0.000632692,0.000574474
1,Story Drift Ratio,9,1,0.000446856,0.000541846,0.000381086,0.000549742,0.000437121,0.000504717,0.000768267,0.000405166,0.000327557,0.000545284,0.000364076,0.000631917,0.000458114,0.000530162,0.000292344,0.000343142,0.000363972,0.000562265,0.000448813,0.000314649,0.000302229,0.00074727
1,Story Drift Ratio,9,2,0.000388995,0.000684885,0.000598999,0.000338578,0.000429915,0.000509002,0.000661216,0.000703333,0.000736007,0.000271091,0.000462703,0.000463395,0.0006583,0.000520076,0.000542963,0.00049367,0.000379329,0.000673855,0.000423364,0.000582968,0.00055662,0.000588882
1,Acceleration,1,1,0.0289098,0.0486716,0.0103453,0.0178841,0.0141328,0.0316269,0.035387,0.0332483,0.0216915,0.0139294,0.0118957,0.0164173,0.0289862,0.0153713,0.0340031,0.0103898,0.00996866,0.0355919,0.0245191,0.0200564,0.0126774,0.0286409
1,Acceleration,1,2,0.0250722,0.0428551,0.0153491,0.0184045,0.0103052,0.0190554,0.0302764,0.0218892,0.0318848,0.00864487,0.0130909,0.019184,0.0278521,0.0159414,0.0217205,0.012131,0.011679,0.0381307,0.0267225,0.0193666,0.0156726,0.0407912
1,Acceleration,2,1,0.0220581,0.0331193,0.00986524,0.0112673,0.0107908,0.0236517,0.0264382,0.0218542,0.0178511,0.0149161,0.00904349,0.0142101,0.0275341,0.0190937,0.0221672,0.00891076,0.00900137,0.0250282,0.0155046,0.015808,0.00825457,0.0291089
1,Acceleration,2,2,0.0194568,0.043447,0.0150339,0.0152925,0.00864543,0.0173899,0.0303884,0.0168484,0.0345135,0.00865147,0.0109525,0.0187177,0.0224752,0.0168944,0.0180751,0.0111268,0.012473,0.0299109,0.0231348,0.0169382,0.0106535,0.0359682
