Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,10,0,0.0647566,0.4,0.00462055
2,Intensity 2,10,0,0.0318256,0.4,0.0118691
3,Intensity 3,10,0,0.0628679,0.4,0.00481318
4,Intensity 4,10,0,0.157647,0.4,0.0012642
5,Intensity 5,10,0,0.122008,0.4,0.00186239
6,Intensity 6,10,0,0.373402,0.4,0.000312792
7,Intensity 7,10,0,0.0234153,0.4,0.0174441
8,Intensity 8,10,0,0.0400259,0.4,0.00882555
9,Intensity 9,10,0,0.278354,0.4,0.000511989
10,Intensity 10,10,0,0.248053,0.4,0.000618134
11,Intensity 11,10,0,0.299027,0.4,0.000454779
12,Intensity 12,10,0,0.0290868,0.4,0.0133057
13,Intensity 13,10,0,0.0210584,0.4,0.0198688
14,Intensity 14,10,0,0.109408,0.4,0.00218817
15,Intensity 15,10,0,0.128955,0.4,0.00171455
16,Intensity 16,10,0,0.113859,0.4,0.00206337
17,Intensity 17,10,0,0.115446,0.4,0.00202159
18,Intensity 18,10,0,0.173879,0.4,0.00108665
19,Intensity 19,10,0,0.108015,0.4,0.00222974
20,Intensity 20,10,0,0.0624434,0.4,0.00485831
21,Intensity 21,10,0,0.0600758,0.4,0.0051232
22,Intensity 22,10,0,0.0639905,0.4,0.00469714
23,Intensity 23,10,0,0.124533,0.4,0.00180638
24,Intensity 24,10,0,0.0824696,0.4,0.00329229
25,Intensity 25,10,0,0.0673047,0.4,0.00437999
26,Intensity 26,10,0,0.0725827,0.4,0.00394232
27,Intensity 27,10,0,0.042148,0.4,0.00824688
28,Intensity 28,10,0,0.0910771,0.4,0.00285663
29,Intensity 29,10,0,0.0878964,0.4,0.00300614
30,Intensity 30,10,0,0.0504284,0.4,0.00649672
31,Intensity 31,10,0,0.136003,0.4,0.00158274
32,Intensity 32,10,0,0.312758,0.4,0.000422002
33,Intensity 33,10,0,0.0954343,0.4,0.00267047
34,Intensity 34,10,0,0.133562,0.4,0.00162652
35,Intensity 35,10,0,0.0886024,0.4,0.00297188
36,Intensity 36,10,0,0.040461,0.4,0.00870146
37,Intensity 37,10,0,0.0329414,0.4,0.0113575
38,Intensity 38,10,0,0.0335905,0.4,0.0110769
39,Intensity 39,10,0,0.0418441,0.4,0.00832579
40,Intensity 40,10,0,0.0188525,0.4,0.0227218
41,Intensity 41,10,0,0.0138349,0.4,0.0327935
42,Intensity 42,10,0,0.0259833,0.4,0.0153308
43,Intensity 43,10,0,0.0826531,0.4,0.0032819
44,Intensity 44,10,0,0.0425079,0.4,0.00815504
45,Intensity 45,10,0,0.0496808,0.4,0.00662829
46,Intensity 46,10,0,0.0535647,0.4,0.00598925
47,Intensity 47,10,0,0.0881767,0.4,0.00299246
48,Intensity 48,10,0,0.106368,0.4,0.00228055
49,Intensity 49,10,0,0.0571846,0.4,0.00548041
50,Intensity 50,10,0,0.0625436,0.4,0.00484759
51,Intensity 51,10,0,0.0540468,0.4,0.00591706
52,Intensity 52,10,0,0.118995,0.4,0.00193291
53,Intensity 53,10,0,0.0195435,0.4,0.0217551
54,Intensity 54,10,0,0.137903,0.4,0.00154994
55,Intensity 55,10,0,0.371809,0.4,0.000315086
56,Intensity 56,10,0,0.571172,0.4,0.000148255
57,Intensity 57,10,0,0.282946,0.4,0.000498366
58,Intensity 58,10,0,0.0768888,0.4,0.00363562
59,Intensity 59,10,0,0.155391,0.4,0.00129247
60,Intensity 60,10,0,0.0280742,0.4,0.0139137
61,Intensity 61,10,0,0.092427,0.4,0.00279677
62,Intensity 62,10,0,0.584709,0.4,0.000142106
63,Intensity 63,10,0,0.0297708,0.4,0.0129201
64,Intensity 64,10,0,0.212031,0.4,0.000795449
65,Intensity 65,10,0,0.11852,0.4,0.00194442
66,Intensity 66,10,0,0.170469,0.4,0.00112056
67,Intensity 67,10,0,0.158714,0.4,0.00125118
68,Intensity 68,10,0,0.0955867,0.4,0.00266432
69,Intensity 69,10,0,0.495771,0.4,0.000190987
70,Intensity 70,10,0,0.533617,0.4,0.000167535
71,Intensity 71,10,0,0.32411,0.4,0.000397543
72,Intensity 72,10,0,0.0356978,0.4,0.0102419
73,Intensity 73,10,0,0.061584,0.4,0.0049518
74,Intensity 74,10,0,0.0556704,0.4,0.00568423
75,Intensity 75,10,0,0.0537601,0.4,0.0059598
76,Intensity 76,10,0,0.0498968,0.4,0.00658981
77,Intensity 77,10,0,0.0453539,0.4,0.00748519
78,Intensity 78,10,0,0.0381017,0.4,0.0094118
79,Intensity 79,10,0,0.0651603,0.4,0.00458101
80,Intensity 80,10,0,0.104727,0.4,0.00233302
81,Intensity 81,10,0,0.0474594,0.4,0.00704654
82,Intensity 82,10,0,0.0503305,0.4,0.00651371
83,Intensity 83,10,0,0.0670954,0.4,0.00439897
84,Intensity 84,10,0,0.0492619,0.4,0.00670394
85,Intensity 85,10,0,0.0577202,0.4,0.00541119
86,Intensity 86,10,0,0.0530465,0.4,0.00606847
87,Intensity 87,10,0,0.0677153,0.4,0.00434315
88,Intensity 88,10,0,0.0155318,0.4,0.0286303
89,Intensity 89,10,0,0.10836,0.4,0.00221932
90,Intensity 90,10,0,0.0192874,0.4,0.022105
91,Intensity 91,10,0,0.0605717,0.4,0.00506577
92,Intensity 92,10,0,0.0302112,0.4,0.0126818
93,Intensity 93,10,0,0.0448137,0.4,0.0076051
94,Intensity 94,10,0,0.0124714,0.4,0.0369876
95,Intensity 95,10,0,0.0317796,0.4,0.011891
96,Intensity 96,10,0,0.0295691,0.4,0.0130319
97,Intensity 97,10,0,0.0630123,0.4,0.00479799
98,Intensity 98,10,0,0.0587508,0.4,0.00528199
99,Intensity 99,10,0,0.0452626,0.4,0.00750523
100,Intensity 100,10,0,0.0551935,0.4,0.00575102
101,Intensity 101,10,0,0.0372118,0.4,0.00970544
102,Intensity 102,10,0,0.0285839,0.4,0.0136019
103,Intensity 103,10,0,0.0784978,0.4,0.00353087
104,Intensity 104,10,0,0.0612571,0.4,0.00498814
105,Intensity 105,10,0,0.0238949,0.4,0.0170126
106,Intensity 106,10,0,0.0145839,0.4,0.0308324
107,Intensity 107,10,0,0.0406457,0.4,0.00864969
108,Intensity 108,10,0,0.00862847,0.4,0.0561203
109,Intensity 109,10,0,0.120043,0.4,0.00190789
110,Intensity 110,10,0,0.0407506,0.4,0.00862048
111,Intensity 111,10,0,0.0386385,0.4,0.0092418
112,Intensity 112,10,0,0.0519958,0.4,0.00623456
113,Intensity 113,10,0,0.0265146,0.4,0.0149481
114,Intensity 114,10,0,0.0170309,0.4,0.0256654
115,Intensity 115,10,0,0.0114367,0.4,0.0408558
116,Intensity 116,10,0,0.0198724,0.4,0.0213199
117,Intensity 117,10,0,0.0129912,0.4,0.0352823
118,Intensity 118,10,0,0.023435,0.4,0.017426
119,Intensity 119,10,0,0.0154221,0.4,0.0288708
