All Floors - All Directions - All PGs
Intensity,Real 1
1,3143.17377018829
2,5767.37619511326
3,4812.55877564174
4,354147.952551738
5,646855.738393659
6,797232.107627618
7,191697.895389977
8,115078.706628621
9,435194.357886805
10,681546.939536136
11,623830.440683541
12,113663.683175798
13,248611.881391721
14,348857.261616406
15,196909.351513126
16,75385.6011681046
17,272281.626692817
18,164143.243883306
19,173503.341322549
20,256181.410513995
21,204370.231699335
22,205467.786222663
23,370529.091148121
24,301135.862694144
25,45829.0905828305
26,364707.971745792
27,347206.405115931
28,93781.5194797411
29,299437.859659166
30,7063.17960516963
31,524926.500695575
32,1769785.30759326
33,137891.627391119
34,277108.799356231
35,115590.573730419
36,138996.512192938
37,135366.848331275
38,6367.03744107603
39,284933.701779005
40,65214.0343960961
41,2444.42935979781
42,183753.65757446
43,30246.6812033546
44,4775.76972476384
45,3820.49705392002
46,5520.92752961216
47,9839.4023709862
48,78541.8459876354
49,11412.4180590138
50,55064.7243701028
51,95686.07850903
52,204701.91093481
53,241190.839644658
54,271874.671778758
55,1285393.25148556
56,887876.8981088
57,733288.597939436
58,423211.065480398
59,401168.932488449
60,185295.271770054
61,79012.4018874115
62,1773109.14412976
63,6536.66549527408
64,513562.989201437
65,214796.151513526
66,1133657.03670947
67,552763.787674326
68,49147.9733530157
69,821394.832772266
70,1487679.3812143
71,1849429.37464171
72,225049.176030304
73,59811.6298588521
74,5185.37163704002
75,6358.28933889336
76,27117.771501608
77,9499.30882808537
78,9213.15708051746
79,95755.6644823451
80,16114.1743329045
81,2977.96978496052
82,5148.72057882459
83,45145.8423772633
84,3276.58668157835
85,40880.8987184777
86,69536.5463048989
87,185357.631990692
88,0
89,12201.0637924929
90,6208.00089962214
91,42530.2770864178
92,4204.56663346249
93,0
94,0
95,39836.5600608925
96,5793.77503062674
97,7130.62914802102
98,95326.3291423621
99,3277.87647875607
100,2929.74914134038
101,238710.084834878
102,43505.9922233929
103,3926.67378825192
104,5789.54405841937
105,3931.03532051525
106,2661.91862902973
107,73663.0122311122
108,0
109,66253.5921475454
110,3314.68703079925
111,70495.3810524146
112,5656.99691277582
113,0
114,2993.28913073828
115,6265.30282493742
116,99602.769438049
117,0
118,6043.92754273166
119,0
120,0
121,1196.11395882403
122,40921.3071060559
123,4884.16733432194
124,9179.71740302675
125,218.821516926852
126,92102.3967491353
127,0
128,9487.43355247093
129,0
130,9933.42333910639
131,3134.60597846896
132,0
133,7933.39722076288
134,3108.79293625259
135,0
136,0
