All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50
1,33087.6863231113,3043.31690678003,0,2350.41726046499,0,0,3133.37213312423,3594.88678271921,2602.57945401009,5267.1822588352,6629.21489388395,0,0,5084.99618026458,68954.7633158434,3854.5135960204,2317.9466276815,2917.15495004167,2607.79093861459,0,5321.00480451846,3232.12959211245,77100.6345432984,2821.18527204181,0,0,0,3731.84220338562,0,0,5417.63073932998,0,6449.16131873012,0,4846.14045464952,5362.20870010327,0,0,0,2854.99735242041,0,0,6619.18470593832,0,6437.90379235144,3995.33987580389,5678.91878282845,0,0,8653.40880329716
2,233391.633422461,711131.312864869,423570.593440262,1158724.86413655,1119344.84600052,767229.80608664,1031992.92387483,1037422.3430406,309665.894560852,704733.416875313,614477.304106255,575525.300603318,636147.080385147,678240.079384422,930866.912065657,1385647.2033071,1133069.39307453,246621.825833878,909829.83158023,498850.275103941,1291479.86927172,714633.146124607,452085.783715945,689611.390191412,1095150.35309141,884163.10578083,645334.878218553,1018303.35132782,300518.854704419,792159.972075881,155482.697460163,1221353.21434831,645089.692241724,1244511.59361216,706375.498712075,278887.910715796,1499991.17039242,949980.971917618,1276558.82801655,740862.692720116,712487.469059693,1418852.59568303,823950.891971974,785193.86099528,1209474.63245541,481403.070065413,927374.524054246,789949.681244334,847057.072641497,945213.832645661
3,972411.967922444,766040.088083353,519161.186216934,475765.219462469,111181.146927021,384184.856514517,751706.913117818,936029.846363396,979426.571345775,661700.746455986,1232124.18387436,511101.311939755,505257.755819908,1065852.65619457,1343908.25142546,314559.910672867,537527.569752318,463336.043935221,393757.857306483,470895.305026526,689881.323003709,348097.766915657,388289.031599026,711761.148194222,308729.98226603,2117126.13285344,502272.580608631,798036.689278282,1588847.92493428,870880.921161355,902539.963234143,1001013.51395271,591625.650751815,1298666.75326203,909188.565121977,516649.530930895,535461.255237146,508247.36919224,1199267.34392217,674309.414616507,278402.113274315,1013214.66498812,327223.696879601,794533.986147918,205217.220075438,1160572.75426019,323767.893562848,727621.029681195,607226.309107088,1416395.65794587
4,1365981.28083811,530684.629635181,922325.631130937,985800.963784081,1161852.37367363,946987.551693796,1260694.08851118,729878.502131496,842820.265690189,1199782.89052299,1089612.87719899,976845.465859004,1251096.0092888,1400372.42353947,307866.963115178,1042506.79000012,1208150.22795854,742111.769941443,624975.123334983,1745377.36751127,765868.926455309,600081.88036539,853995.578797532,771570.326697036,1421815.40555147,843009.37523538,819929.76920835,702342.368921999,1476487.50660731,799807.11292884,614653.519868288,1075234.80492718,1201854.30268082,1451659.78571355,855150.849606164,1147749.12340316,624761.046527328,2971716.40923397,495259.304408912,1408861.23248427,1222206.03495326,540472.522757896,773822.669623312,1018303.81672624,575235.762162479,1233453.19458344,1034337.32005633,795525.712791848,1322181.71592761,719665.989393029
5,1432113.26761064,314513.817078768,1355524.11441852,2684865.25780418,1118289.60982259,1659715.13115801,1534883.55646204,502039.468377125,1057651.82994999,1427572.93706366,2284737.82969558,685105.490759056,922799.666354479,648247.186501094,1146541.43858083,1120531.08267774,1103434.55827606,1022305.09607775,1133680.50379449,2010151.82812954,320369.570965273,1358751.53477063,960627.291427656,1272861.07836043,241957.373280516,1762739.50965288,1464493.00245947,767798.741272448,877670.059935058,1504049.62827091,1608891.10444288,1192937.17039964,381531.057866083,1121625.05975001,1598791.12315527,1011706.34993694,1069787.43231179,518750.949283539,983590.950747201,761323.295297655,309762.490546808,1118225.55706657,1094801.02239382,2375950.50412752,731347.129596354,1230629.96486599,565975.646511206,1118354.79857769,1181062.25840272,559219.909064521
6,1788206.30054767,1121464.86481155,1053350.38177761,2995156.88647815,1789841.28733942,1285105.93699674,1216733.47699809,911176.711340209,882662.467003403,1555565.06612941,1396476.15279149,1360261.65985565,834180.888921457,1540248.07755665,1920028.86433043,1387628.87862629,1148363.78145642,1686635.37829576,1277331.42973005,792320.836530577,1400736.25403326,1530748.03176652,1408679.45372479,1026497.17236821,956559.525305343,1001701.24311695,1304829.69208017,773582.675770659,965001.272646411,528091.705590746,1374694.56610308,1468496.76301181,5445921.61915081,1368448.46157926,1710976.03372135,892191.024291845,1525628.08063706,113505.429447817,1551643.42901001,2854979.48620621,1967376.50784691,949676.674947936,1244909.08859421,1757601.14364625,1050221.45705436,1134536.7518718,824842.167463793,1308716.5980422,1989899.35920507,1437007.66819675
7,7688451.16499504,4206596.97038486,3687675.55915809,1066095.59450907,3620232.46890015,2018825.90625982,1339138.22327357,3182302.27918847,878809.572329094,3643143.9424473,6771244.63606795,3776128.73110191,2158924.14156292,705374.31655596,8180252.24457522,5843487.27456333,7518899.33919481,6041442.59605995,1280292.5293072,4640358.34105739,2435306.96740012,3158883.39674748,1694661.30443711,3378765.33723963,3082527.00100862,7688408.96882653,2517541.9668343,1729558.29940966,4663966.32545628,6737370.79831239,7673575.65768448,4326090.85162263,4086606.49247532,2277883.20379271,1884047.91976532,1158971.68529951,3506817.02636417,1035399.48622001,4114216.2370776,8304213.57390073,3570721.40884119,940500.065089196,1949644.74602231,740510.300968659,885989.15006214,2334767.53555075,6259653.4593636,6307830.3534017,3955218.55481358,3541831.64932488
8,1626726.42449878,1606651.50876725,3955884.17436348,1183711.40454457,1301232.73543819,1208068.62288523,1229157.60201276,1265391.88761694,1943548.7662602,1591215.49486613,1560108.68380291,4645053.6629839,4715130.72599957,5207913.89805121,1025334.93571528,3385551.39716522,1731511.52429245,1053371.63674126,2196846.70029071,3786087.44965364,1519526.83337378,1607917.47239113,1383705.51643469,2159606.87951174,2241344.30593392,1622407.89706326,1551486.42629586,1604861.88802778,3351296.7119443,2230598.19799556,5736114.15904938,2242772.48882707,2459352.28989414,2023986.92545906,2362757.34922612,3350504.11843765,5031134.46524492,1457764.45532056,1189199.1813124,1528049.85350165,1326199.37943143,1065905.72210954,884310.593628948,1286181.58924158,3254000.67834362,1678004.52942116,3360506.7110565,1687779.76294209,927747.806402897,1494969.99351655
9,2548194.41826424,2389102.98352186,1116115.80260464,2994496.5001927,891004.557775566,2687138.63771315,2245336.36627751,1516295.82504844,2448844.21019773,3521840.7083322,5521163.49797008,3235636.83809389,2163921.3174915,1884969.13582474,3774088.81193833,3900632.4654015,2295052.39044127,977403.726828224,1446666.90012297,1452008.25391844,1340063.31757821,2544433.75160303,2042497.693528,1514367.15670791,4490381.5166897,4085757.94124115,3955859.67260175,1364424.5915169,1760452.78150282,4701075.24387563,1629274.03908753,2087969.56079033,2525234.12888908,1898258.99871937,3955174.7124798,1572681.89465494,1166089.66684401,3598806.15086311,1602736.79779226,6439334.57204432,3390456.34431159,1531024.70721213,1856131.88325279,3375863.74271349,5987089.80491192,1911301.99158249,696815.142521296,926438.30196841,7306364.89522183,2894911.54253094
10,2393742.58310018,2655616.6556669,1602102.11432723,1699345.14635811,3542762.90185211,3480073.41081983,1408345.92747835,1718842.94244109,1531867.43085692,1703058.12532897,2224995.60800891,1762082.18069492,1356151.39374847,915595.659839465,3090398.45245169,2113660.45053958,1842316.3423956,1944083.48791311,4982868.53423442,4785386.2200541,2278466.30357459,1998642.97138127,1484456.36578363,1828466.46130985,1152272.78655134,4471443.30055225,1727027.78541831,6186380.2967863,1600119.39645207,3076754.18042383,5091782.99399547,1481617.92097716,4599815.57853248,1318255.58275137,1150102.50946056,1471853.22078182,1500667.3157317,3522385.16739834,2725102.34247935,1796743.39647792,7098144.77914998,1603573.06871164,2192043.16161473,3414609.40155054,4619316.89069926,1683183.44226394,2095761.87781674,1183965.26384508,1645020.80054606,1571717.48633157
