All Floors - All Directions - All PGs
Intensity,Real 1
1,319191.511346427
2,1844868.56427652
3,557221.160440999
4,1174588.38184884
5,565739.752990948
6,153832.456666369
7,4226296.12131104
8,735380.43627587
9,1119184.12759697
10,1120539.23278585
11,1081117.53606604
12,1307922.53344479
13,38371.3477162076
14,420979.905818458
15,556453.00250313
16,928406.983903418
17,7498438.09422855
18,473218.109085865
19,235992.490145933
20,197024.221123462
21,2190924.7610848
22,736794.859483325
23,592152.698658351
24,444807.059060903
25,274617.790846581
26,826874.381316048
27,459713.117468463
28,725254.144705098
29,1564690.6027995
30,225979.446398525
31,344497.439461021
32,608589.375885747
33,325735.012782021
34,844824.855184614
35,5913226.52887835
36,755431.726504236
37,537152.206335185
38,1041467.80101358
39,270433.231773655
40,141642.20198659
41,402461.861934773
42,398285.783597901
43,450942.30938057
44,703627.888477459
45,307939.558539245
46,3581107.25935791
47,2728092.85911656
48,3167826.01957511
49,1083303.84616281
50,1966370.64681323
51,2063699.12486294
52,3458943.64034883
53,2070221.84666672
54,2028891.73774158
55,1132329.27787609
56,1976955.15323218
57,1029667.15482583
58,7459083.02701657
59,280821.989258767
60,1321012.05097788
61,877861.437247028
62,183329.620991504
63,719188.064901473
64,2701534.41053516
65,367226.434852911
66,176680.065938255
67,115773.462228159
68,629701.324318484
69,496029.088899292
70,719289.471211648
71,1390106.7465634
72,220818.145569246
73,221950.643173201
74,308141.730420328
75,724197.373106428
76,565816.313307656
77,319683.697572348
78,1287712.79157134
79,910243.30072769
80,579711.315762368
81,463834.218751214
82,1740974.40224695
83,635080.185153813
84,612848.480204599
85,287312.06317079
86,58829.0113361735
87,250169.527343085
88,623500.45875727
89,270342.557158875
90,125384.656355667
91,43277.966119013
92,108180.935437596
93,76221.6439903282
94,234275.028711514
95,52623.3970111158
96,319194.894135715
97,189472.320297519
98,158857.331586762
99,63826.144773186
100,107198.183866262
101,410555.017434966
102,52676.9446879247
103,81699.7861382298
104,70120.3912999996
105,87772.702110878
106,351852.008285243
107,41515.7812787668
108,208969.777230251
109,434069.54720656
110,79027.4881767127
111,105327.268865949
112,32560.0414255889
113,10930.8368946947
114,15070.3689060748
115,23589.9693438598
116,127710.775147156
117,123784.812637957
118,127045.864854077
119,24969.2018029836
120,105154.819885825
121,274581.155583505
122,429525.143757927
123,82457.432694679
124,18870.148775694
125,66848.5960405814
126,189512.722731343
127,110350.043676703
128,72661.4833562118
129,7265.71083001788
130,360222.268248694
131,242127.155791958
132,69573.1934051485
133,320090.989424027
134,131606.366090409
135,148325.491120844
136,218302.774098046
137,203992.918519649
138,163631.292153563
139,452613.424759762
140,9050.36740207774
141,927673.40003021
142,162933.171864193
143,430768.996317056
144,28586.2921559349
145,221468.055385646
146,616755.031074616
147,733360.976362183
148,869488.026323515
149,160798.471581989
150,1361451.61670138
151,129664.988599035
152,261778.991780611
153,146294.707582964
154,74507.9977612288
155,111892.859846132
156,84565.3782110771
157,41293.6470775309
158,41358.154314683
159,7525.79118304792
160,44627.8323025382
161,54924.013742299
162,202905.409961365
163,79871.6348944432
164,19225.2832635702
165,51754.8186517611
166,50036.4037609588
167,76899.2500537681
168,5212.36601687365
169,30535.3931862055
170,54211.0222349015
171,52671.0076107396
172,71908.7384740224
173,62350.8760715232
174,87767.825426065
175,317341.598078017
176,159888.595331795
177,107761.371240101
178,75006.7695313751
179,135213.245158075
180,327010.882525408
181,78823.4395099579
182,18581.5567939575
183,7707.7226910465
184,292674.57847264
185,29434.0550420878
186,10055.2263629045
187,50368.7064146679
188,22884.4651935096
189,85338.2389418935
190,18352.3317101811
191,24883.9019158949
192,12232.2521869619
193,104719.500676304
194,39964.7871308607
195,65411.1886465947
196,121004.988178577
197,95582.752166642
198,194830.324799634
199,153945.369023251
200,8169.90758052992
201,311065.257020244
202,122486.185523341
203,94570.9594519421
204,63823.2797649822
205,8187.93096646293
206,22209.4537307408
207,92798.4168636439
208,26397.5413840059
209,186635.251827835
210,57185.0578593747
211,60950.6396181718
212,46171.7674816543
213,26016.9824204849
214,70949.2181589002
215,143546.821164697
216,89016.449583858
217,81959.7672721456
218,53390.2175331996
219,88177.1467959725
220,16712.78498277
221,104527.825333195
222,281802.60167723
223,73930.0289168488
224,88740.790856202
225,79261.8718619072
226,207287.109040521
227,8971.66810352604
228,22137.1880437048
229,55171.1060681567
230,73872.8039448608
231,283283.523617859
232,69313.6091136417
233,179503.458816103
234,133263.100273774
235,169126.767847599
236,132370.339240367
237,109020.725479882
238,112990.423554776
239,124373.525128813
240,129213.577123192
241,77354.6393504865
242,54656.2951898164
243,219527.286564846
244,75994.2548942423
245,54724.0897838396
246,35723.3202687127
247,163793.80137885
248,12504.3170459572
249,22710.360819966
250,152281.829063299
251,38245.3712867649
252,190978.119998063
253,30848.8439149562
254,211711.894412679
255,66592.5163614702
256,135272.899243167
257,101480.97055659
258,101494.555341359
259,114784.896286398
260,69400.6418421382
261,167293.972493216
262,142553.418670369
263,71758.0530992529
264,415447.838431786
265,411993.166087913
266,70551.4736013289
267,90314.612534634
268,91388.71202715
269,118128.386389021
270,102806.183013613
271,226915.05621583
272,72112.1149162026
273,164604.958010701
274,93708.3347794119
275,176567.969587767
276,118178.912496246
277,83121.1702015525
278,25223.4574722742
279,35452.9841364669
280,375264.236114178
281,229694.617416806
282,208069.399547144
283,51002.7652449631
284,552551.267676314
