Each Fragility and damage state and the quantity of items damaged building wide
Analysis,Fragility,DS,Information,Real 1

1,-,-,Has Unsafe Placard,False
1,-,-,Collapse,False
1,-,-,Residual Drift,False

1,B1031.001,-,Total in Building,20
1,B1031.001,-,Caused Unsafe Placard,False
1,B1031.001,1/0,Number in DS,0
1,B1031.001,1/0,Fraction Needed,0
1,B1031.001,1/0,Fraction Damaged,0
1,B1031.001,1/1,Number in DS,0
1,B1031.001,1/1,Fraction Needed,0
1,B1031.001,1/1,Fraction Damaged,0
1,B1031.001,2,Number in DS,0
1,B1031.001,2,Fraction Needed,0.155474622950493
1,B1031.001,2,Fraction Damaged,0
1,B1031.001,3,Number in DS,0
1,B1031.001,3,Fraction Needed,0.0945231408096555
1,B1031.001,3,Fraction Damaged,0

1,B1035.022,-,Total in Building,36
1,B1035.022,-,Caused Unsafe Placard,False
1,B1035.022,1,Number in DS,0
1,B1035.022,1,Fraction Needed,0
1,B1035.022,1,Fraction Damaged,0
1,B1035.022,2,Number in DS,0
1,B1035.022,2,Fraction Needed,0.363726454343891
1,B1035.022,2,Fraction Damaged,0
1,B1035.022,3,Number in DS,0
1,B1035.022,3,Fraction Needed,0.344555076837896
1,B1035.022,3,Fraction Damaged,0

1,B1035.032,-,Total in Building,144
1,B1035.032,-,Caused Unsafe Placard,False
1,B1035.032,1,Number in DS,0
1,B1035.032,1,Fraction Needed,0
1,B1035.032,1,Fraction Damaged,0
1,B1035.032,2,Number in DS,0
1,B1035.032,2,Fraction Needed,0.594380253060422
1,B1035.032,2,Fraction Damaged,0
1,B1035.032,3,Number in DS,0
1,B1035.032,3,Fraction Needed,0.38583365770568
1,B1035.032,3,Fraction Damaged,0

1,B2022.001,-,Total in Building,4050
1,B2022.001,-,Caused Unsafe Placard,False
1,B2022.001,1,Number in DS,0
1,B2022.001,1,Fraction Needed,0
1,B2022.001,1,Fraction Damaged,0
1,B2022.001,2,Number in DS,0
1,B2022.001,2,Fraction Needed,1
1,B2022.001,2,Fraction Damaged,0

1,B3011.011,-,Total in Building,549
1,B3011.011,-,Caused Unsafe Placard,False
1,B3011.011,1,Number in DS,0
1,B3011.011,1,Fraction Needed,0
1,B3011.011,1,Fraction Damaged,0
1,B3011.011,2,Number in DS,0
1,B3011.011,2,Fraction Needed,0.763647985172203
1,B3011.011,2,Fraction Damaged,0

1,B1031.021b,-,Total in Building,40
1,B1031.021b,-,Caused Unsafe Placard,False
1,B1031.021b,1/0,Number in DS,0
1,B1031.021b,1/0,Fraction Needed,0
1,B1031.021b,1/0,Fraction Damaged,0
1,B1031.021b,1/1,Number in DS,0
1,B1031.021b,1/1,Fraction Needed,0
1,B1031.021b,1/1,Fraction Damaged,0
1,B1031.021b,2,Number in DS,0
1,B1031.021b,2,Fraction Needed,0.0275987073964981
1,B1031.021b,2,Fraction Damaged,0


2,-,-,Has Unsafe Placard,False
2,-,-,Collapse,False
2,-,-,Residual Drift,False

2,B1031.001,-,Total in Building,20
2,B1031.001,-,Caused Unsafe Placard,False
2,B1031.001,1/0,Number in DS,0
2,B1031.001,1/0,Fraction Needed,0
2,B1031.001,1/0,Fraction Damaged,0
2,B1031.001,1/1,Number in DS,0
2,B1031.001,1/1,Fraction Needed,0
2,B1031.001,1/1,Fraction Damaged,0
2,B1031.001,2,Number in DS,0
2,B1031.001,2,Fraction Needed,0.154390579587371
2,B1031.001,2,Fraction Damaged,0
2,B1031.001,3,Number in DS,0
2,B1031.001,3,Fraction Needed,0.0872332658467728
2,B1031.001,3,Fraction Damaged,0

2,B1035.022,-,Total in Building,36
2,B1035.022,-,Caused Unsafe Placard,False
2,B1035.022,1,Number in DS,0
2,B1035.022,1,Fraction Needed,0
2,B1035.022,1,Fraction Damaged,0
2,B1035.022,2,Number in DS,0
2,B1035.022,2,Fraction Needed,0.669668271597668
2,B1035.022,2,Fraction Damaged,0
2,B1035.022,3,Number in DS,0
2,B1035.022,3,Fraction Needed,0.67493977457509
2,B1035.022,3,Fraction Damaged,0

2,B1035.032,-,Total in Building,144
2,B1035.032,-,Caused Unsafe Placard,False
2,B1035.032,1,Number in DS,0
2,B1035.032,1,Fraction Needed,0
2,B1035.032,1,Fraction Damaged,0
2,B1035.032,2,Number in DS,0
2,B1035.032,2,Fraction Needed,0.557492648824772
2,B1035.032,2,Fraction Damaged,0
2,B1035.032,3,Number in DS,0
2,B1035.032,3,Fraction Needed,0.67929752934534
2,B1035.032,3,Fraction Damaged,0

2,B2022.001,-,Total in Building,4050
2,B2022.001,-,Caused Unsafe Placard,False
2,B2022.001,1,Number in DS,0
2,B2022.001,1,Fraction Needed,0
2,B2022.001,1,Fraction Damaged,0
2,B2022.001,2,Number in DS,0
2,B2022.001,2,Fraction Needed,0.378786190137783
2,B2022.001,2,Fraction Damaged,0

2,B3011.011,-,Total in Building,549
2,B3011.011,-,Caused Unsafe Placard,False
2,B3011.011,1,Number in DS,0
2,B3011.011,1,Fraction Needed,0
2,B3011.011,1,Fraction Damaged,0
2,B3011.011,2,Number in DS,41
2,B3011.011,2,Fraction Needed,0.530519954058254
2,B3011.011,2,Fraction Damaged,0.0746812386156648

2,B1031.021b,-,Total in Building,40
2,B1031.021b,-,Caused Unsafe Placard,False
2,B1031.021b,1/0,Number in DS,0
2,B1031.021b,1/0,Fraction Needed,0
2,B1031.021b,1/0,Fraction Damaged,0
2,B1031.021b,1/1,Number in DS,0
2,B1031.021b,1/1,Fraction Needed,0
2,B1031.021b,1/1,Fraction Damaged,0
2,B1031.021b,2,Number in DS,0
2,B1031.021b,2,Fraction Needed,0.044502993170628
2,B1031.021b,2,Fraction Damaged,0


3,-,-,Has Unsafe Placard,False
3,-,-,Collapse,False
3,-,-,Residual Drift,False

3,B1031.001,-,Total in Building,20
3,B1031.001,-,Caused Unsafe Placard,False
3,B1031.001,1/0,Number in DS,0
3,B1031.001,1/0,Fraction Needed,0
3,B1031.001,1/0,Fraction Damaged,0
3,B1031.001,1/1,Number in DS,0
3,B1031.001,1/1,Fraction Needed,0
3,B1031.001,1/1,Fraction Damaged,0
3,B1031.001,2,Number in DS,0
3,B1031.001,2,Fraction Needed,0.162906886330128
3,B1031.001,2,Fraction Damaged,0
3,B1031.001,3,Number in DS,0
3,B1031.001,3,Fraction Needed,0.0910003440907026
3,B1031.001,3,Fraction Damaged,0

3,B1035.022,-,Total in Building,36
3,B1035.022,-,Caused Unsafe Placard,False
3,B1035.022,1,Number in DS,0
3,B1035.022,1,Fraction Needed,0
3,B1035.022,1,Fraction Damaged,0
3,B1035.022,2,Number in DS,0
3,B1035.022,2,Fraction Needed,0.501517043721055
3,B1035.022,2,Fraction Damaged,0
3,B1035.022,3,Number in DS,0
3,B1035.022,3,Fraction Needed,0.62579032592716
3,B1035.022,3,Fraction Damaged,0

3,B1035.032,-,Total in Building,144
3,B1035.032,-,Caused Unsafe Placard,False
3,B1035.032,1,Number in DS,0
3,B1035.032,1,Fraction Needed,0
3,B1035.032,1,Fraction Damaged,0
3,B1035.032,2,Number in DS,0
3,B1035.032,2,Fraction Needed,0.276998785703214
3,B1035.032,2,Fraction Damaged,0
3,B1035.032,3,Number in DS,0
3,B1035.032,3,Fraction Needed,0.512886535803563
3,B1035.032,3,Fraction Damaged,0

3,B2022.001,-,Total in Building,4050
3,B2022.001,-,Caused Unsafe Placard,False
3,B2022.001,1,Number in DS,0
3,B2022.001,1,Fraction Needed,0
3,B2022.001,1,Fraction Damaged,0
3,B2022.001,2,Number in DS,0
3,B2022.001,2,Fraction Needed,1
3,B2022.001,2,Fraction Damaged,0

3,B3011.011,-,Total in Building,549
3,B3011.011,-,Caused Unsafe Placard,False
3,B3011.011,1,Number in DS,0
3,B3011.011,1,Fraction Needed,0
3,B3011.011,1,Fraction Damaged,0
3,B3011.011,2,Number in DS,0
3,B3011.011,2,Fraction Needed,0.257159884220247
3,B3011.011,2,Fraction Damaged,0

3,B1031.021b,-,Total in Building,40
3,B1031.021b,-,Caused Unsafe Placard,False
3,B1031.021b,1/0,Number in DS,0
3,B1031.021b,1/0,Fraction Needed,0
3,B1031.021b,1/0,Fraction Damaged,0
3,B1031.021b,1/1,Number in DS,0
3,B1031.021b,1/1,Fraction Needed,0
3,B1031.021b,1/1,Fraction Damaged,0
3,B1031.021b,2,Number in DS,0
3,B1031.021b,2,Fraction Needed,0.0226573536499877
3,B1031.021b,2,Fraction Damaged,0


4,-,-,Has Unsafe Placard,False
4,-,-,Collapse,False
4,-,-,Residual Drift,False

4,B1031.001,-,Total in Building,20
4,B1031.001,-,Caused Unsafe Placard,False
4,B1031.001,1/0,Number in DS,0
4,B1031.001,1/0,Fraction Needed,0
4,B1031.001,1/0,Fraction Damaged,0
4,B1031.001,1/1,Number in DS,0
4,B1031.001,1/1,Fraction Needed,0
4,B1031.001,1/1,Fraction Damaged,0
4,B1031.001,2,Number in DS,0
4,B1031.001,2,Fraction Needed,0.190880606776083
4,B1031.001,2,Fraction Damaged,0
4,B1031.001,3,Number in DS,0
4,B1031.001,3,Fraction Needed,0.0657661032184968
4,B1031.001,3,Fraction Damaged,0

4,B1035.022,-,Total in Building,36
4,B1035.022,-,Caused Unsafe Placard,False
4,B1035.022,1,Number in DS,0
4,B1035.022,1,Fraction Needed,0
4,B1035.022,1,Fraction Damaged,0
4,B1035.022,2,Number in DS,0
4,B1035.022,2,Fraction Needed,0.641656073056987
4,B1035.022,2,Fraction Damaged,0
4,B1035.022,3,Number in DS,0
4,B1035.022,3,Fraction Needed,0.176000315043364
4,B1035.022,3,Fraction Damaged,0

4,B1035.032,-,Total in Building,144
4,B1035.032,-,Caused Unsafe Placard,False
4,B1035.032,1,Number in DS,0
