Each Fragility and damage state and the quantity of items damaged building wide
Analysis,Fragility,DS,Information,Real 1

1,-,-,Has Unsafe Placard,False
1,-,-,Collapse,False
1,-,-,Residual Drift,False

1,B1031.001,-,Total in Building,20
1,B1031.001,-,Caused Unsafe Placard,False
1,B1031.001,1/0,Number in DS,0
1,B1031.001,1/0,Fraction Needed,0
1,B1031.001,1/0,Fraction Damaged,0
1,B1031.001,1/1,Number in DS,0
1,B1031.001,1/1,Fraction Needed,0
1,B1031.001,1/1,Fraction Damaged,0
1,B1031.001,2,Number in DS,0
1,B1031.001,2,Fraction Needed,0.146892998006176
1,B1031.001,2,Fraction Damaged,0
1,B1031.001,3,Number in DS,0
1,B1031.001,3,Fraction Needed,0.115081457646574
1,B1031.001,3,Fraction Damaged,0

1,B1035.022,-,Total in Building,36
1,B1035.022,-,Caused Unsafe Placard,False
1,B1035.022,1,Number in DS,0
1,B1035.022,1,Fraction Needed,0
1,B1035.022,1,Fraction Damaged,0
1,B1035.022,2,Number in DS,0
1,B1035.022,2,Fraction Needed,0.328357979976028
1,B1035.022,2,Fraction Damaged,0
1,B1035.022,3,Number in DS,0
1,B1035.022,3,Fraction Needed,0.627914798490542
1,B1035.022,3,Fraction Damaged,0

1,B1035.032,-,Total in Building,144
1,B1035.032,-,Caused Unsafe Placard,False
1,B1035.032,1,Number in DS,0
1,B1035.032,1,Fraction Needed,0
1,B1035.032,1,Fraction Damaged,0
1,B1035.032,2,Number in DS,0
1,B1035.032,2,Fraction Needed,0.523064853262973
1,B1035.032,2,Fraction Damaged,0
1,B1035.032,3,Number in DS,0
1,B1035.032,3,Fraction Needed,0.204428879554175
1,B1035.032,3,Fraction Damaged,0

1,B2022.001,-,Total in Building,4050
1,B2022.001,-,Caused Unsafe Placard,False
1,B2022.001,1,Number in DS,0
1,B2022.001,1,Fraction Needed,0
1,B2022.001,1,Fraction Damaged,0
1,B2022.001,2,Number in DS,0
1,B2022.001,2,Fraction Needed,1
1,B2022.001,2,Fraction Damaged,0

1,B3011.011,-,Total in Building,549
1,B3011.011,-,Caused Unsafe Placard,False
1,B3011.011,1,Number in DS,0
1,B3011.011,1,Fraction Needed,0
1,B3011.011,1,Fraction Damaged,0
1,B3011.011,2,Number in DS,0
1,B3011.011,2,Fraction Needed,0.886521275302498
1,B3011.011,2,Fraction Damaged,0

1,B1031.021b,-,Total in Building,40
1,B1031.021b,-,Caused Unsafe Placard,False
1,B1031.021b,1/0,Number in DS,0
1,B1031.021b,1/0,Fraction Needed,0
1,B1031.021b,1/0,Fraction Damaged,0
1,B1031.021b,1/1,Number in DS,0
1,B1031.021b,1/1,Fraction Needed,0
1,B1031.021b,1/1,Fraction Damaged,0
1,B1031.021b,2,Number in DS,0
1,B1031.021b,2,Fraction Needed,0.0148383835782654
1,B1031.021b,2,Fraction Damaged,0


2,-,-,Has Unsafe Placard,False
2,-,-,Collapse,False
2,-,-,Residual Drift,False

2,B1031.001,-,Total in Building,20
2,B1031.001,-,Caused Unsafe Placard,False
2,B1031.001,1/0,Number in DS,0
2,B1031.001,1/0,Fraction Needed,0
2,B1031.001,1/0,Fraction Damaged,0
2,B1031.001,1/1,Number in DS,0
2,B1031.001,1/1,Fraction Needed,0
2,B1031.001,1/1,Fraction Damaged,0
2,B1031.001,2,Number in DS,0
2,B1031.001,2,Fraction Needed,0.331132008064442
2,B1031.001,2,Fraction Damaged,0
2,B1031.001,3,Number in DS,0
2,B1031.001,3,Fraction Needed,0.0953714093449708
2,B1031.001,3,Fraction Damaged,0

2,B1035.022,-,Total in Building,36
2,B1035.022,-,Caused Unsafe Placard,False
2,B1035.022,1,Number in DS,0
2,B1035.022,1,Fraction Needed,0
2,B1035.022,1,Fraction Damaged,0
2,B1035.022,2,Number in DS,0
2,B1035.022,2,Fraction Needed,0.531205085131529
2,B1035.022,2,Fraction Damaged,0
2,B1035.022,3,Number in DS,0
2,B1035.022,3,Fraction Needed,0.859222604654595
2,B1035.022,3,Fraction Damaged,0

2,B1035.032,-,Total in Building,144
2,B1035.032,-,Caused Unsafe Placard,False
2,B1035.032,1,Number in DS,0
2,B1035.032,1,Fraction Needed,0
2,B1035.032,1,Fraction Damaged,0
2,B1035.032,2,Number in DS,0
2,B1035.032,2,Fraction Needed,0.47530126586636
2,B1035.032,2,Fraction Damaged,0
2,B1035.032,3,Number in DS,0
2,B1035.032,3,Fraction Needed,0.733313556875769
2,B1035.032,3,Fraction Damaged,0

2,B2022.001,-,Total in Building,4050
2,B2022.001,-,Caused Unsafe Placard,False
2,B2022.001,1,Number in DS,0
2,B2022.001,1,Fraction Needed,0
2,B2022.001,1,Fraction Damaged,0
2,B2022.001,2,Number in DS,0
2,B2022.001,2,Fraction Needed,0.589568095511987
2,B2022.001,2,Fraction Damaged,0

2,B3011.011,-,Total in Building,549
2,B3011.011,-,Caused Unsafe Placard,False
2,B3011.011,1,Number in DS,0
2,B3011.011,1,Fraction Needed,0
2,B3011.011,1,Fraction Damaged,0
2,B3011.011,2,Number in DS,0
2,B3011.011,2,Fraction Needed,0.252902506474752
2,B3011.011,2,Fraction Damaged,0

2,B1031.021b,-,Total in Building,40
2,B1031.021b,-,Caused Unsafe Placard,False
2,B1031.021b,1/0,Number in DS,0
2,B1031.021b,1/0,Fraction Needed,0
2,B1031.021b,1/0,Fraction Damaged,0
2,B1031.021b,1/1,Number in DS,0
2,B1031.021b,1/1,Fraction Needed,0
2,B1031.021b,1/1,Fraction Damaged,0
2,B1031.021b,2,Number in DS,0
2,B1031.021b,2,Fraction Needed,0.0200268259964166
2,B1031.021b,2,Fraction Damaged,0


3,-,-,Has Unsafe Placard,False
3,-,-,Collapse,False
3,-,-,Residual Drift,False

3,B1031.001,-,Total in Building,20
3,B1031.001,-,Caused Unsafe Placard,False
3,B1031.001,1/0,Number in DS,0
3,B1031.001,1/0,Fraction Needed,0
3,B1031.001,1/0,Fraction Damaged,0
3,B1031.001,1/1,Number in DS,0
3,B1031.001,1/1,Fraction Needed,0
3,B1031.001,1/1,Fraction Damaged,0
3,B1031.001,2,Number in DS,0
3,B1031.001,2,Fraction Needed,0.0817613186516699
3,B1031.001,2,Fraction Damaged,0
3,B1031.001,3,Number in DS,0
3,B1031.001,3,Fraction Needed,0.119561883720188
3,B1031.001,3,Fraction Damaged,0

3,B1035.022,-,Total in Building,36
3,B1035.022,-,Caused Unsafe Placard,False
3,B1035.022,1,Number in DS,0
3,B1035.022,1,Fraction Needed,0
3,B1035.022,1,Fraction Damaged,0
3,B1035.022,2,Number in DS,0
3,B1035.022,2,Fraction Needed,0.436707727508216
3,B1035.022,2,Fraction Damaged,0
3,B1035.022,3,Number in DS,0
3,B1035.022,3,Fraction Needed,0.865174325242529
3,B1035.022,3,Fraction Damaged,0

3,B1035.032,-,Total in Building,144
3,B1035.032,-,Caused Unsafe Placard,False
3,B1035.032,1,Number in DS,0
3,B1035.032,1,Fraction Needed,0
3,B1035.032,1,Fraction Damaged,0
3,B1035.032,2,Number in DS,0
3,B1035.032,2,Fraction Needed,1
3,B1035.032,2,Fraction Damaged,0
3,B1035.032,3,Number in DS,0
3,B1035.032,3,Fraction Needed,0.972197156452815
3,B1035.032,3,Fraction Damaged,0

3,B2022.001,-,Total in Building,4050
3,B2022.001,-,Caused Unsafe Placard,False
3,B2022.001,1,Number in DS,0
3,B2022.001,1,Fraction Needed,0
3,B2022.001,1,Fraction Damaged,0
3,B2022.001,2,Number in DS,0
3,B2022.001,2,Fraction Needed,0.605365983234181
3,B2022.001,2,Fraction Damaged,0

3,B3011.011,-,Total in Building,549
3,B3011.011,-,Caused Unsafe Placard,False
3,B3011.011,1,Number in DS,0
3,B3011.011,1,Fraction Needed,0
3,B3011.011,1,Fraction Damaged,0
3,B3011.011,2,Number in DS,0
3,B3011.011,2,Fraction Needed,1
3,B3011.011,2,Fraction Damaged,0

3,B1031.021b,-,Total in Building,40
3,B1031.021b,-,Caused Unsafe Placard,False
3,B1031.021b,1/0,Number in DS,0
3,B1031.021b,1/0,Fraction Needed,0
3,B1031.021b,1/0,Fraction Damaged,0
3,B1031.021b,1/1,Number in DS,0
3,B1031.021b,1/1,Fraction Needed,0
3,B1031.021b,1/1,Fraction Damaged,0
3,B1031.021b,2,Number in DS,0
3,B1031.021b,2,Fraction Needed,0.0126169354503895
3,B1031.021b,2,Fraction Damaged,0


4,-,-,Has Unsafe Placard,False
4,-,-,Collapse,False
4,-,-,Residual Drift,False

4,B1031.001,-,Total in Building,20
4,B1031.001,-,Caused Unsafe Placard,False
4,B1031.001,1/0,Number in DS,0
4,B1031.001,1/0,Fraction Needed,0
4,B1031.001,1/0,Fraction Damaged,0
4,B1031.001,1/1,Number in DS,0
4,B1031.001,1/1,Fraction Needed,0
4,B1031.001,1/1,Fraction Damaged,0
4,B1031.001,2,Number in DS,0
4,B1031.001,2,Fraction Needed,0.335465444160084
4,B1031.001,2,Fraction Damaged,0
4,B1031.001,3,Number in DS,0
4,B1031.001,3,Fraction Needed,0.14912472755195
4,B1031.001,3,Fraction Damaged,0

4,B1035.022,-,Total in Building,36
4,B1035.022,-,Caused Unsafe Placard,False
4,B1035.022,1,Number in DS,0
4,B1035.022,1,Fraction Needed,0
4,B1035.022,1,Fraction Damaged,0
4,B1035.022,2,Number in DS,0
4,B1035.022,2,Fraction Needed,0.819170190634328
4,B1035.022,2,Fraction Damaged,0
4,B1035.022,3,Number in DS,0
4,B1035.022,3,Fraction Needed,0.323818718194125
4,B1035.022,3,Fraction Damaged,0

4,B1035.032,-,Total in Building,144
4,B1035.032,-,Caused Unsafe Placard,False
4,B1035.032,1,Number in DS,0
4,B1035.032,1,Fraction Needed,0
