All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50,Real 51,Real 52,Real 53,Real 54,Real 55,Real 56,Real 57,Real 58,Real 59,Real 60,Real 61,Real 62,Real 63,Real 64,Real 65,Real 66,Real 67,Real 68,Real 69,Real 70,Real 71,Real 72,Real 73,Real 74,Real 75,Real 76,Real 77,Real 78,Real 79,Real 80,Real 81,Real 82,Real 83,Real 84,Real 85,Real 86,Real 87,Real 88,Real 89,Real 90,Real 91,Real 92,Real 93,Real 94,Real 95,Real 96,Real 97,Real 98,Real 99,Real 100
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.50641433170843,2847.58590365617,3999.68265095935,1168.26440518651,2357.06806795294,58037.8772307359,1816.74791044489,182.332293165764,95.3766901502225,2173.47547623346,1036.94508646372,2.47830491017077,44584.6137525796,507.949154698943,87103.126213007,125.628224072143,711.709013309385,180.233948084588,1.73168658694877,80328.7362723899,47087.9844616988,98.0854333116129,1636.24706269914,534.647669399563,3570.52510239415,100.680354168554,98.7120560241408,24970.5914259841,11.0718917644656,2202.70060426798,899.032998800753,393.698106608119,2.95546324119031,1914.44733386501,0,1374.17344444168,1295.36397519936,2.90553955841568,2147.42296533752,2873.56093700993,131634.486246858,1029.30473314027,4669.93457563752,648.892678771026,156.194620100274,3513.82142688687,802.004302132262,423.30763496369,280.354069474641,1774.2314204697,106933.017679293,4071.52353943533,859.535736968863,3572.03393337161,78305.7936329993,2485.56449566201,574.321690726501,190.938966468913,2700.35183014801,717.42041904374,0,59601.2773517955,18.7192036345994,803.702033585707,260.926215496398,333.112782493213,2.73417940132583,345.536779602483,102.604269687155,1995.58716600651,154.723474007031,107.698373445452,70.4116891683162,3457.00915475005,243.153500851435,0,1389.77652012497,211.379526744392,1398.61792581117,58362.6368009776,124.484900049451,854.866821266823,1003.75749344296,71.3539064104026,258.773262404485,1203.41835158401,30717.8217388392,174.134024548823,3.96256496666675,110.472970183369,199.505213636265,26.8154226278798,7.13067245411135,36.4471390433875,438.433354333738,379.899406971909,206.874650123252,8461.66894840964,1454.03386893859,0
3,104086.754575582,76228.4013164556,58776.2438251131,249686.782740967,13548.8581648281,51376.8571185721,8897.79843028556,39173.3241530292,4160.17109100638,42903.1534301964,7532.42695721372,37390.6533626861,62546.2561883715,184463.231838673,5488.93247539467,171039.546419148,34019.367138953,14782.56782223,349582.075850655,124654.340892672,203667.647184717,132101.167770717,185381.608392465,127154.319685301,11913.8474883263,9556.10609790759,63652.7511862725,94126.3297244267,47035.4242871247,1474.52608273114,87966.3464269648,19627.0347493059,1180.93255884627,178678.021047718,45618.2003013687,467141.43477379,1853.63931776413,2309.63324591155,73085.4639944914,91940.5652917833,9493.55276345222,2361.83770295123,67933.6785376649,279451.151374786,35493.1747440134,4878.20326177214,36315.6507617165,31726.2094371627,146616.487595234,58040.9934531971,207734.514608019,95210.2981258876,38304.7941342934,148179.11301807,85054.2814118656,172007.513633052,13455.1517223507,99364.4207833572,8558.61682297429,11134.6718651124,3900.93009346704,74060.3522362432,1870.25050577821,214290.357991718,41429.3300836133,2044.92196517305,51525.7791860163,34894.1991036028,71111.1868563826,2751.46469153533,164254.026394501,32177.2743658513,58499.5434460157,89178.1715445796,5014.55663519655,114186.579309477,35042.2294980674,89106.5002693915,44460.3155466635,16024.6567009715,2465.74182345812,75201.3571040678,256087.016670995,267282.734039289,45587.9088541531,39207.6674722482,41464.9195028596,3296.35880483727,37275.5589210027,30365.7690381982,101121.524176353,95265.1174384322,125425.410954662,361200.870222702,144249.824358052,19829.1376353792,738.464716241926,7304.75869911846,66822.2954551083,373573.038375634
4,23369.8704736452,854864.606243835,485448.859310026,346000.937437167,309606.443640639,136821.598103674,709103.258274144,62218.3153455537,99229.4975241589,169600.720553495,143877.799857815,181402.208867694,203800.328573471,143769.598006491,265931.369951518,274893.45691492,76876.8213654071,87819.1188041685,56227.8076331848,780707.970340506,252395.508003595,462372.700341574,596360.38949441,140818.717457081,340374.640099098,342036.539087089,202955.499771241,386760.440795494,629824.266751062,747726.624857034,730098.358391169,293197.478490549,198078.084158098,140682.277986677,260103.526355571,76869.5040708174,166767.961202796,126731.915984975,283314.902224396,276661.437456996,396022.203605243,62593.7055280406,194356.588459582,94588.6145305544,401039.12968626,335631.599232334,124138.244139243,203522.477208682,488059.692797638,884705.092475581,154497.981294963,7866.60298446375,360067.231350827,132313.552731731,205018.51228804,82132.4890026158,52977.5442949795,200383.804450455,714072.954484885,290468.243729952,473657.667713046,189688.644103007,52561.3515911245,152064.590073896,187173.038237522,223297.533451155,1077725.82196665,455348.548377517,58984.7267172708,501954.102104663,488379.489538598,303870.054708888,94757.5723936512,103663.244550574,8942.4876605699,243931.060150763,147258.765771743,284844.733778968,324469.165528183,974400.3501104,161282.56538098,190806.783689871,538465.614800939,588499.521290582,314525.691908001,699847.973863566,517789.007916124,106195.842776126,384110.130540886,292216.938637273,90524.5352696969,702862.145943055,310525.835947432,88442.8407531863,350781.165974097,269005.932584088,758807.50386306,348415.520891881,263849.701474504,263721.878545232
5,467437.779658091,281042.662107377,314867.049347004,162654.566939779,198879.02328382,321329.642610859,96130.0586010334,589447.482320706,235648.421607625,284452.730568527,192904.205000158,282210.252881617,1179078.10829733,692855.43737391,264159.109914846,416918.634902877,115330.697961831,798329.257573207,407683.20539493,387244.686209482,1156129.9710571,190612.649703017,396054.206867499,519257.809248848,1041972.8403034,55437.0514132126,298936.47488463,427737.350544951,463706.014758113,636585.474920475,638415.91688884,398858.436732877,526564.657415144,278074.280330087,546891.169918819,311117.424461383,377787.46658854,484648.471906328,734107.327814981,247964.496354797,356694.180808497,134061.168966418,275542.842593278,584520.073337761,288575.340267638,618219.368143651,579179.862409226,169985.226720235,148861.127064145,336539.226566261,1100187.28677792,901377.486988553,1021960.91743207,501719.545853278,202485.72901588,317751.510390355,200195.816707277,465319.375368894,325115.16861277,67125.9381457399,190549.498644028,294666.58682262,963410.784732496,348010.632626595,265833.475926696,396860.799252637,75594.8468681272,464667.004731072,284703.818732817,765316.24798658,559000.803224679,367883.903059095,195683.413234534,434817.076759396,340086.193631586,755614.961551338,858540.718275743,409827.428963285,565035.60367488,92979.0557568408,330830.223297356,264966.87326412,516928.161501732,435302.562312237,625293.921419948,1144093.96665125,525586.871941107,282244.071715453,191972.234637422,228955.530857599,748091.396136227,279466.883531425,276825.517882393,478065.696082901,156688.006186535,145650.738082062,229034.468995501,483807.805653112,217764.490047378,345736.943087725
6,635243.380928256,499462.987781391,817686.095634739,383537.747141953,517946.237840225,1027509.96922995,709512.754242505,739393.493512156,725533.849111132,1156655.63547016,424350.705761189,33535.9313368143,777551.166302704,307301.3585259,463201.534355524,786381.590804379,382455.090265604,369075.007015557,174854.238546692,959066.616396842,1198766.90724129,398751.849228642,396606.244062737,70580.6587020444,928774.241046717,497406.349193578,1066948.32854914,665225.031914161,376212.18545454,1416056.79526568,394884.129024213,832019.915797406,158005.191913567,1182334.28283608,727644.733273452,853097.411189144,1182032.39470789,999824.478870584,488244.316740941,501136.481990729,886726.599651886,412673.594538822,1077883.61295932,450039.014827381,565780.680955679,238768.379217359,904572.765607514,517177.947032524,336031.041943404,617161.518316556,356419.444722045,1102420.22103622,642185.959188359,322273.676674042,1281896.16732896,739717.389230685,223054.072706053,677488.043983051,614735.633107655,336558.026800906,1159262.69118871,263701.579936218,298671.374863858,533306.288066545,352525.240359777,1137461.42887586,169433.782811233,895794.156282676,960603.858044972,847084.892616214,839601.89447546,464593.320035177,923960.245230922,644956.668680618,470874.505831781,602903.011184589,475840.919059122,1279778.46645404,711692.967047431,762636.117448039,504146.607469726,283600.719033537,427948.288497792,1084722.15565094,669950.099807906,727497.816934317,234013.702468978,1144758.73690616,1282159.75996182,877348.694551099,791448.035143096,296502.47324728,397421.568421657,556704.033068121,618302.858995427,518830.361259807,1208673.52663834,685963.894687828,216021.142308955,674106.399707834
7,1023914.61234453,420403.147307454,1259242.6306393,588382.732443345,525545.414950916,872639.869901718,536634.150876467,811588.05383701,545477.700190941,615839.491282587,485801.278361109,369239.729968177,1139922.03561656,643230.719021219,428757.712150025,531212.592060927,909391.839254531,1403647.47679647,552457.817941236,587253.408327969,1028231.11545,807637.544778998,811744.583477135,1872238.8155717,830112.745451435,527073.020623626,521288.862499076,322142.344256297,1093830.58117149,1207979.83303898,590069.899182823,599681.070964605,1373863.43291131,1104166.06366322,797873.173836103,877414.684475894,764631.576727677,757235.220380367,416305.360531725,728705.971860392,825010.918878713,1253130.0072298,561962.09017419,1090333.9997797,449235.861684009,745895.177018581,1091252.20811817,1288774.8770396,677171.206858512,579669.737578373,847935.408503726,966802.29777921,516958.897301426,663095.126538741,724000.123897538,300078.128890874,975109.698353594,1269646.91258089,937999.409573101,1412793.12054537,689914.073222147,479530.757204247,327511.703167212,499014.737658592,438629.25149078,339513.344946906,617638.643432507,938461.977672208,804715.726752217,648710.603745904,735700.03798125,664556.846770309,1123975.60788435,947773.346373397,1161374.22713195,1001828.90878355,903497.14537023,917888.755064834,959532.74496499,1083216.53935901,793251.717690208,553287.710682013,835942.556572841,720682.318230874,558065.392811403,875180.943049894,651087.947337903,541853.912660618,1464953.80424581,575036.569248239,524198.521923962,925103.904278534,629846.342385904,457373.256270542,358394.166523218,631911.340458282,1024704.37729679,807871.406988235,980985.328579333,223742.748129705
8,928189.601859,1203729.65621935,1026464.92099527,1162789.35649884,860699.260391545,1658404.22346963,797981.073465205,1101641.06658777,771588.960224771,1092920.5917657,1119646.56214457,1613472.92261071,468449.772228732,1289211.74546319,1255145.21060537,613582.07955087,973984.849443404,939118.748784243,892603.953168779,1010373.85175834,656615.341097878,936001.611180637,1808652.7845875,1275747.82605001,1634595.48244996,1267787.97975074,924777.507729639,1090679.58292918,1229773.17831313,751180.666964238,442246.410744005,841620.79369214,720242.207561544,463093.983101703,995967.417247476,972958.367333719,771479.207140691,1191344.04514384,449699.549552037,740768.058432573,694207.797573204,1175642.28945207,1036283.5784439,1098416.12195814,1081697.11479999,1296377.33094778,619942.071443927,594992.218500491,942970.130856088,933669.738465003,715342.637786864,596104.903119078,1013062.07007851,1026752.20704462,832685.111562103,203107.761183733,1359971.47692548,425752.735253822,1459905.77208539,735973.185563657,984156.548640428,1050368.36885097,694259.426615716,700506.321826854,932370.105545536,919944.070417957,1104829.58788093,1725189.32066328,1153306.46498387,894592.248561553,1283895.97453362,709350.199752803,1266121.34836691,404277.941037471,1002972.01563988,1025484.10123895,964223.305290624,469646.323994242,1231073.72691956,558949.436395679,807187.852920842,969263.658981865,700892.132740564,1630957.61335828,985633.999902849,1271175.88582924,816922.498696267,1057965.82553119,947680.268529727,979846.397336681,1215184.60817104,688667.430785756,1103286.93264779,774541.480465516,1216127.26998265,1193491.27553484,1055313.74567644,851756.332260892,215040.020573058,732647.718467319
9,752879.563754237,931612.764959785,1096884.52526911,1020892.51790291,786464.611232275,1458900.88888391,1406483.44064306,946356.866477362,1321652.37731077,1210349.12305479,648610.486732587,1029590.72937727,1133647.77726098,533222.980192176,1124024.87326922,1467845.71998021,1387917.09872403,1738189.75133377,1190433.15509533,555510.563075309,1083947.51762575,1204394.55680185,1048803.67723044,702861.139394078,1521001.88829122,1134788.37768461,1626683.79755547,1099538.00379,1678620.29515999,620777.508177927,1288929.27198161,832642.330973588,1255541.33817483,1032497.71618331,1039813.93945764,1339126.42971013,655487.290901802,725511.801205094,826098.199244712,909897.955040957,461798.953197832,1025191.98036136,1356411.61225053,1342274.27780671,498140.566745603,922502.315950192,1268908.15330318,1013800.74948688,1060787.98322484,1744251.87985587,1730441.65809263,665722.855739496,1205307.86291231,834836.263832235,643736.780356016,1186265.16256146,745979.386410411,889362.564963082,1361859.34284643,1421330.88206451,1441569.95387755,1381698.26661929,1024048.12673696,1334718.02025138,1108530.96731196,1317971.22511612,1518368.26227166,1298964.7214446,1271264.70703668,1221075.68755213,1077143.64814868,899664.267742799,1641401.70970987,976363.760862034,1940549.52584603,1263553.80424479,1547754.20305691,1273482.76152111,748953.194964521,1105090.95294459,580260.070366155,1168539.41071282,1491003.01565317,730539.033672922,693226.957720916,1224251.48038851,1327991.84766047,963328.701143692,1049518.96965819,1221162.02763795,1349258.19615543,1230347.78645599,1114573.25153092,1094294.64486671,952950.150352099,729512.016694787,1426605.54981574,1548698.21828032,593367.018864951,835892.486024086
10,1334653.11425443,796241.761793216,2008991.94464362,1749581.79107309,1188488.27005537,1421738.47774638,1315595.64011818,1338691.19032157,918955.575149249,1256203.27152125,836981.726799368,1223694.55472119,734021.109789957,994168.585212372,674402.771646138,1415366.08429894,832419.972036857,1043917.75104435,1246323.69376271,1431285.03830506,1513687.10519038,1093940.01629046,1592432.18853128,878112.800909757,944576.468362322,1541384.70963559,1181796.02293612,937880.590735672,1069530.56505701,1722950.53607171,1553325.74216836,675211.121842066,1015110.30098834,580350.655049,1104678.70918625,1101457.49749366,719538.512166762,801546.285669099,1350434.80460669,780033.393757559,1200940.0375857,1822551.78338635,1324914.67205477,318277.376187779,627378.780442897,1132961.14984115,1073823.43094126,825610.140318405,1181337.59432697,1762372.2166741,1338364.32961436,1330439.70831387,679605.832513926,928765.826266024,981046.967928027,966057.166698196,1216393.66501251,1203083.12103955,1327894.22000346,667674.120957084,1200123.59406972,1243079.82647748,1026489.1932638,1083460.6735237,506001.275665728,906964.064640115,696889.146580512,645287.513311439,1412393.09778574,1296732.03151366,1444098.40919734,895198.516917788,1421521.05609859,1438942.57117764,1184291.98988971,1583366.7612999,1703342.18251296,1236595.92323849,991497.257222868,774740.30404196,784702.359845749,931922.380087962,1687836.38470395,985344.779215658,1090792.54246331,1236811.27587255,1594872.33258989,871119.416995418,1421162.82838604,1037203.10305833,748081.245402155,1194529.47915007,1224320.67431798,1172527.72581144,1597518.91933625,1517191.19333698,1094685.51585582,575349.665050635,1636524.50121024,1207900.23527313
