All Floors - All Directions - All PGs
Intensity,Real 1
1,1283.01886099613
2,35.2236305920913
3,2966.10778634278
4,289870.751474414
5,890535.506769203
6,1051833.75774656
7,252920.874711865
8,55155.7365704862
9,583726.796581763
10,912476.762131582
11,757661.884817174
12,65274.1709115011
13,444062.468027354
14,332738.13111401
15,181117.776712444
16,136805.908862306
17,680055.193969273
18,101815.133804375
19,183833.930861111
20,340484.652170799
21,177429.535565114
22,257603.17527557
23,462847.240717209
24,386767.866812285
25,190417.502473937
26,573861.651677381
27,474770.848938356
28,30513.5328530892
29,259430.452980842
30,46901.9793107584
31,617986.146631547
32,1482716.31369729
33,71852.4688793617
34,518032.300379204
35,124094.749775446
36,90950.5041819253
37,219919.516475174
38,55939.7009843683
39,198980.108818814
40,286.210601801028
41,0
42,150675.546555339
43,106268.675553101
44,9.1466870543344
45,325.846102631584
46,1644.70222984616
47,4175.62168577782
48,106102.709782
49,107258.546425653
50,34331.8384219688
51,48278.0824106831
52,391535.104000935
53,122647.708601953
54,453261.269806833
55,1370359.78622976
56,898842.330315311
57,688277.737414066
58,359053.377914478
59,806886.733016615
60,190903.72865839
61,32420.3661253282
62,1770997.79539674
63,88650.6700681385
64,1513243.59706374
65,186824.784867
66,1113390.25422032
67,897423.075281315
68,75601.0370402175
69,1118624.78556248
70,1204082.44853163
71,1773018.95197797
72,447356.095919667
73,49710.0933439075
74,428.71815330792
75,4677.41115859178
76,983.34463604301
77,536.797830222121
78,1820.99131558956
79,6576.54367163184
80,3706.68427786297
81,2881.61525869483
82,46.1706285216579
83,57038.7506156324
84,868.238914533811
85,564.10932588281
86,62711.3693107288
87,204447.519363139
88,0
89,66248.6274527952
90,55175.2470673431
91,34585.5024348257
92,683.504649764817
93,0
94,502.956592823414
95,836.581922568865
96,1388.64970464893
97,7693.28484881524
98,201558.216627603
99,0
100,77.665459780633
101,207769.476626142
102,49218.3446842745
103,32205.4420428912
104,1105.15099187021
105,210.675851642791
106,0
107,135443.219326737
108,188.718220130723
109,930.04080655726
110,0
111,1362.89776555633
112,114.094123889108
113,4.89453897605677
114,0
115,8.14845561355093
116,70639.9467564051
117,0
118,49909.8819845568
119,0
120,79.9902588076238
121,1875.55236493107
122,1148.71369039919
123,1582.23781926784
124,69029.5702049283
125,706.484471260943
126,81251.9008210767
127,779.837505169131
128,143785.451732316
129,0
130,920.959822601719
131,0
132,197.829806566747
133,6.83041259974111
134,86.6723746315495
135,0
136,0
