Each Fragility and damage state and the quantity of items damaged building wide
Analysis,Fragility,DS,Information,Real 1

1,-,-,Has Unsafe Placard,False
1,-,-,Collapse,False
1,-,-,Residual Drift,False

1,B1031.011b,-,Total in Building,16
1,B1031.011b,-,Caused Unsafe Placard,False
1,B1031.011b,1/0,Number in DS,0
1,B1031.011b,1/0,Fraction Needed,0
1,B1031.011b,1/0,Fraction Damaged,0
1,B1031.011b,1/1,Number in DS,0
1,B1031.011b,1/1,Fraction Needed,0
1,B1031.011b,1/1,Fraction Damaged,0
1,B1031.011b,2,Number in DS,0
1,B1031.011b,2,Fraction Needed,0.193760635246735
1,B1031.011b,2,Fraction Damaged,0
1,B1031.011b,3,Number in DS,0
1,B1031.011b,3,Fraction Needed,0.0829469676163395
1,B1031.011b,3,Fraction Damaged,0

1,B1033.001b,-,Total in Building,12
1,B1033.001b,-,Caused Unsafe Placard,False
1,B1033.001b,1,Number in DS,0
1,B1033.001b,1,Fraction Needed,0
1,B1033.001b,1,Fraction Damaged,0
1,B1033.001b,2,Number in DS,0
1,B1033.001b,2,Fraction Needed,1
1,B1033.001b,2,Fraction Damaged,0
1,B1033.001b,3,Number in DS,0
1,B1033.001b,3,Fraction Needed,0.725056938166308
1,B1033.001b,3,Fraction Damaged,0
1,B1033.001b,4,Number in DS,0
1,B1033.001b,4,Fraction Needed,0.260037721847312
1,B1033.001b,4,Fraction Damaged,0

1,B1035.022,-,Total in Building,24
1,B1035.022,-,Caused Unsafe Placard,False
1,B1035.022,1,Number in DS,0
1,B1035.022,1,Fraction Needed,0
1,B1035.022,1,Fraction Damaged,0
1,B1035.022,2,Number in DS,0
1,B1035.022,2,Fraction Needed,0.764241628827988
1,B1035.022,2,Fraction Damaged,0
1,B1035.022,3,Number in DS,0
1,B1035.022,3,Fraction Needed,0.474127613181441
1,B1035.022,3,Fraction Damaged,0

1,B1035.032,-,Total in Building,24
1,B1035.032,-,Caused Unsafe Placard,False
1,B1035.032,1,Number in DS,0
1,B1035.032,1,Fraction Needed,0
1,B1035.032,1,Fraction Damaged,0
1,B1035.032,2,Number in DS,0
1,B1035.032,2,Fraction Needed,0.176531381186329
1,B1035.032,2,Fraction Damaged,0
1,B1035.032,3,Number in DS,0
1,B1035.032,3,Fraction Needed,0.425074824798196
1,B1035.032,3,Fraction Damaged,0

1,B2022.001,-,Total in Building,864
1,B2022.001,-,Caused Unsafe Placard,False
1,B2022.001,1,Number in DS,0
1,B2022.001,1,Fraction Needed,0
1,B2022.001,1,Fraction Damaged,0
1,B2022.001,2,Number in DS,0
1,B2022.001,2,Fraction Needed,0.77065257815023
1,B2022.001,2,Fraction Damaged,0

1,B3011.011,-,Total in Building,117
1,B3011.011,-,Caused Unsafe Placard,False
1,B3011.011,1,Number in DS,0
1,B3011.011,1,Fraction Needed,0
1,B3011.011,1,Fraction Damaged,0
1,B3011.011,2,Number in DS,0
1,B3011.011,2,Fraction Needed,0.532279189745406
1,B3011.011,2,Fraction Damaged,0


2,-,-,Has Unsafe Placard,False
2,-,-,Collapse,False
2,-,-,Residual Drift,False

2,B1031.011b,-,Total in Building,16
2,B1031.011b,-,Caused Unsafe Placard,False
2,B1031.011b,1/0,Number in DS,0
2,B1031.011b,1/0,Fraction Needed,0
2,B1031.011b,1/0,Fraction Damaged,0
2,B1031.011b,1/1,Number in DS,0
2,B1031.011b,1/1,Fraction Needed,0
2,B1031.011b,1/1,Fraction Damaged,0
2,B1031.011b,2,Number in DS,0
2,B1031.011b,2,Fraction Needed,0.32250210900911
2,B1031.011b,2,Fraction Damaged,0
2,B1031.011b,3,Number in DS,0
2,B1031.011b,3,Fraction Needed,0.119282837565179
2,B1031.011b,3,Fraction Damaged,0

2,B1033.001b,-,Total in Building,12
2,B1033.001b,-,Caused Unsafe Placard,False
2,B1033.001b,1,Number in DS,0
2,B1033.001b,1,Fraction Needed,0
2,B1033.001b,1,Fraction Damaged,0
2,B1033.001b,2,Number in DS,0
2,B1033.001b,2,Fraction Needed,1
2,B1033.001b,2,Fraction Damaged,0
2,B1033.001b,3,Number in DS,0
2,B1033.001b,3,Fraction Needed,0.385508856871215
2,B1033.001b,3,Fraction Damaged,0
2,B1033.001b,4,Number in DS,0
2,B1033.001b,4,Fraction Needed,0.133680355032987
2,B1033.001b,4,Fraction Damaged,0

2,B1035.022,-,Total in Building,24
2,B1035.022,-,Caused Unsafe Placard,False
2,B1035.022,1,Number in DS,0
2,B1035.022,1,Fraction Needed,0
2,B1035.022,1,Fraction Damaged,0
2,B1035.022,2,Number in DS,0
2,B1035.022,2,Fraction Needed,0.248091027218806
2,B1035.022,2,Fraction Damaged,0
2,B1035.022,3,Number in DS,0
2,B1035.022,3,Fraction Needed,0.430793928168916
2,B1035.022,3,Fraction Damaged,0

2,B1035.032,-,Total in Building,24
2,B1035.032,-,Caused Unsafe Placard,False
2,B1035.032,1,Number in DS,0
2,B1035.032,1,Fraction Needed,0
2,B1035.032,1,Fraction Damaged,0
2,B1035.032,2,Number in DS,0
2,B1035.032,2,Fraction Needed,0.411210208188269
2,B1035.032,2,Fraction Damaged,0
2,B1035.032,3,Number in DS,0
2,B1035.032,3,Fraction Needed,0.521508370954425
2,B1035.032,3,Fraction Damaged,0

2,B2022.001,-,Total in Building,864
2,B2022.001,-,Caused Unsafe Placard,False
2,B2022.001,1,Number in DS,0
2,B2022.001,1,Fraction Needed,0
2,B2022.001,1,Fraction Damaged,0
2,B2022.001,2,Number in DS,0
2,B2022.001,2,Fraction Needed,0.463145764712946
2,B2022.001,2,Fraction Damaged,0

2,B3011.011,-,Total in Building,117
2,B3011.011,-,Caused Unsafe Placard,False
2,B3011.011,1,Number in DS,0
2,B3011.011,1,Fraction Needed,0
2,B3011.011,1,Fraction Damaged,0
2,B3011.011,2,Number in DS,0
2,B3011.011,2,Fraction Needed,0.848663658640954
2,B3011.011,2,Fraction Damaged,0


3,-,-,Has Unsafe Placard,False
3,-,-,Collapse,False
3,-,-,Residual Drift,False

3,B1031.011b,-,Total in Building,16
3,B1031.011b,-,Caused Unsafe Placard,False
3,B1031.011b,1/0,Number in DS,0
3,B1031.011b,1/0,Fraction Needed,0
3,B1031.011b,1/0,Fraction Damaged,0
3,B1031.011b,1/1,Number in DS,0
3,B1031.011b,1/1,Fraction Needed,0
3,B1031.011b,1/1,Fraction Damaged,0
3,B1031.011b,2,Number in DS,0
3,B1031.011b,2,Fraction Needed,0.182994738119738
3,B1031.011b,2,Fraction Damaged,0
3,B1031.011b,3,Number in DS,0
3,B1031.011b,3,Fraction Needed,0.0445154053636243
3,B1031.011b,3,Fraction Damaged,0

3,B1033.001b,-,Total in Building,12
3,B1033.001b,-,Caused Unsafe Placard,False
3,B1033.001b,1,Number in DS,0
3,B1033.001b,1,Fraction Needed,0
3,B1033.001b,1,Fraction Damaged,0
3,B1033.001b,2,Number in DS,0
3,B1033.001b,2,Fraction Needed,1
3,B1033.001b,2,Fraction Damaged,0
3,B1033.001b,3,Number in DS,0
3,B1033.001b,3,Fraction Needed,0.328550613541724
3,B1033.001b,3,Fraction Damaged,0
3,B1033.001b,4,Number in DS,0
3,B1033.001b,4,Fraction Needed,0.299223138637722
3,B1033.001b,4,Fraction Damaged,0

3,B1035.022,-,Total in Building,24
3,B1035.022,-,Caused Unsafe Placard,False
3,B1035.022,1,Number in DS,0
3,B1035.022,1,Fraction Needed,0
3,B1035.022,1,Fraction Damaged,0
3,B1035.022,2,Number in DS,0
3,B1035.022,2,Fraction Needed,0.520314881716363
3,B1035.022,2,Fraction Damaged,0
3,B1035.022,3,Number in DS,0
3,B1035.022,3,Fraction Needed,0.829548811221422
3,B1035.022,3,Fraction Damaged,0

3,B1035.032,-,Total in Building,24
3,B1035.032,-,Caused Unsafe Placard,False
3,B1035.032,1,Number in DS,0
3,B1035.032,1,Fraction Needed,0
3,B1035.032,1,Fraction Damaged,0
3,B1035.032,2,Number in DS,0
3,B1035.032,2,Fraction Needed,0.381989101638648
3,B1035.032,2,Fraction Damaged,0
3,B1035.032,3,Number in DS,0
3,B1035.032,3,Fraction Needed,0.525785806578716
3,B1035.032,3,Fraction Damaged,0

3,B2022.001,-,Total in Building,864
3,B2022.001,-,Caused Unsafe Placard,False
3,B2022.001,1,Number in DS,0
3,B2022.001,1,Fraction Needed,0
3,B2022.001,1,Fraction Damaged,0
3,B2022.001,2,Number in DS,0
3,B2022.001,2,Fraction Needed,0.662733077176486
3,B2022.001,2,Fraction Damaged,0

3,B3011.011,-,Total in Building,117
3,B3011.011,-,Caused Unsafe Placard,False
3,B3011.011,1,Number in DS,0
3,B3011.011,1,Fraction Needed,0
3,B3011.011,1,Fraction Damaged,0
3,B3011.011,2,Number in DS,0
3,B3011.011,2,Fraction Needed,0.409719751834963
3,B3011.011,2,Fraction Damaged,0


4,-,-,Has Unsafe Placard,False
4,-,-,Collapse,False
4,-,-,Residual Drift,False

4,B1031.011b,-,Total in Building,16
4,B1031.011b,-,Caused Unsafe Placard,False
4,B1031.011b,1/0,Number in DS,0
4,B1031.011b,1/0,Fraction Needed,0
4,B1031.011b,1/0,Fraction Damaged,0
4,B1031.011b,1/1,Number in DS,0
4,B1031.011b,1/1,Fraction Needed,0
4,B1031.011b,1/1,Fraction Damaged,0
4,B1031.011b,2,Number in DS,0
4,B1031.011b,2,Fraction Needed,0.248551792645649
4,B1031.011b,2,Fraction Damaged,0
4,B1031.011b,3,Number in DS,0
4,B1031.011b,3,Fraction Needed,0.129124390346837
4,B1031.011b,3,Fraction Damaged,0

4,B1033.001b,-,Total in Building,12
4,B1033.001b,-,Caused Unsafe Placard,False
4,B1033.001b,1,Number in DS,0
4,B1033.001b,1,Fraction Needed,0
