All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50
1,0,2943.27334866708,4136.30704540666,0,0,0,3142.23200152254,0,0,0,0,0,0,0,4043.98051885505,0,0,0,0,0,6150.07447232008,0,0,0,2709.99842224738,0,0,0,0,0,0,0,0,2978.77717539881,0,0,0,3912.51262827161,0,3268.24225917869,0,0,0,0,0,0,0,0,5449.80590216694,0
2,544385.757354808,945474.786741174,656278.288533571,2244160.82514899,1248631.37770784,1161608.45340143,896127.380196903,984083.56636551,173809.569623235,329920.683492928,766103.342131645,338228.257980078,983016.092712205,1251450.57931417,355276.137499299,635993.663313639,1146508.79767827,1359122.04536475,1102558.22089858,862371.742636914,1189907.70299889,818886.089646937,786480.572853954,179990.755893699,1156160.3374868,609676.230942689,716617.215397989,533409.344491117,1513218.17992063,1207229.71384941,1719349.71292191,492301.213028993,1016752.24191084,1516116.68930304,1354834.6005131,1329169.20873017,602355.957359068,1217076.16686496,416240.98754637,1055172.04935528,882067.171222544,1400497.90854993,529529.475921839,905276.718426436,1042919.97101797,1568681.52135368,1673724.87384857,1345363.25298269,1347540.32022499,1497797.81534894
3,1321986.40983871,2883114.38072554,3774451.58850958,2170057.39761503,2726480.69743657,2043217.15962267,1587525.78261567,1582750.32177836,1526947.86167454,3224540.45770628,1384562.63658188,2017694.90006603,1574324.50038348,2823771.74953109,1840867.26934205,2231932.2257569,2210431.38337148,3605565.75037743,2121006.89754255,3088695.75250504,1252790.55453672,4156860.05727823,2354210.44622794,2267220.68498382,1765499.28085348,2102631.51747746,2626397.807318,1462049.91559443,1571736.9845852,3165359.72574348,2239093.1824428,2967359.68052775,2197717.38425972,2597145.19966281,2834356.10850733,1469707.47359706,1529789.51166271,2419695.75286368,5079756.36009131,1182275.13638967,1825348.56612343,2143936.75439346,2174339.18708222,1926233.31889713,1956264.69844347,1848660.83027869,2360078.93960026,1681045.24819088,1684473.10501007,3569884.26242792
4,3120615.1312297,2565398.53185937,2412668.57492711,2968870.11451681,3283284.84439939,3420481.45670816,2352098.20761701,6578242.11910622,3014793.04780713,5978966.82778542,5654230.95466015,2862084.09950991,3065499.32724485,3688429.90922459,2649508.42573552,3622779.67656446,2530158.39978187,3740824.37044359,3171802.88302862,6624490.60833428,2340078.72688717,5153604.03106323,5232550.97923831,2937042.77182682,4154095.30728431,2070252.03683776,6051714.94471768,2737894.98824808,3937635.16422575,3167646.46916091,3345838.93849397,3142478.96913503,5574027.15201725,5851950.65457926,5226611.49492295,2982450.85269432,6059630.7014196,9158161.47968371,4563184.98394198,3464435.70451303,2275983.13803987,3087823.65531028,4383916.27525338,3622211.42008662,6476091.89140091,2326290.17527536,2547032.22852264,2456081.70784057,6679405.21456206,2757196.21142024
5,8951345.13035756,2732369.26282427,7346498.83325073,3196090.24085242,8763206.77784526,7777772.97560008,4520762.44551444,3553310.25130021,9456055.06799076,6091174.73071929,9655366.76002675,9559601.72213689,6233098.35703136,6409251.28388917,7223871.71508442,9162499.25053527,9719193.56940131,6860187.62917619,7990429.53730381,3252526.58663921,7418742.42852949,8867839.88779821,2866642.99846159,3200810.90563174,6489636.62095183,8259711.27872328,9415762.25583358,8636279.70784781,2552070.62055205,4221804.42959717,9837002.84740763,6557017.84393766,6692901.22041756,8586453.15980279,6979850.53543051,5609542.59418212,9563526.10015955,8375797.11112931,5158940.72148069,8384423.88062693,8735287.86631555,7724987.80868441,7316135.98843849,4799628.96349595,7511037.80011164,7392182.89010118,7532905.88913335,5373641.00421909,3433796.06950955,7999908.74310391
6,5232606.8097315,8546264.14004426,6051930.38395017,5920071.64152226,9335761.31900914,4919759.95877519,3022193.41187821,6092821.44143706,9740299.34248402,8647035.55959066,9197331.40074012,8344235.71041729,9381594.19468034,9383570.31002633,9298269.97068422,9773089.55032885,8868838.65416326,6597984.682331,8648957.57405103,6143835.42382783,9718251.014919,6612763.88979991,8754003.59990315,8800791.32856866,5074266.64534198,9457824.84338126,8370147.17079218,8704417.22173568,8247552.26682365,9714989.91582741,7889897.28596631,8668920.01998144,7147964.33339359,5286471.11585693,8251195.0117369,4965778.40870585,8096051.03463668,7466523.20645349,8545684.68399601,9181297.00274365,8918384.17445275,6321985.97041385,8357243.83898758,9596729.81500908,6659665.40703956,9446689.8862205,9330932.93910873,9422958.24811823,9179485.66171575,5653903.18979138
7,8847503.92157001,8149150.92402511,8777844.86716004,9320246.6506854,8565340.30160425,9988250.55347155,7153342.95429402,9834119.83924912,9823517.2211698,9735565.06876904,8186686.35419112,6738236.81045192,9524113.06406691,8413294.3752101,9392543.66087241,7714769.92454143,10094851.1464329,10046015.6857651,8203943.91507641,9510431.48562654,9261732.74608677,8958204.34388543,4842243.77719863,9759829.358763,9110777.25463056,9795663.9989121,7176667.28332186,9808752.97774572,6710050.29672453,8805072.6377903,9874715.64931359,6190955.41001034,9362970.62960877,7006785.79038315,6970175.03300317,9135532.70382823,9298745.44242839,7590955.10102671,9960804.90683346,9094562.79068702,7619037.47993688,8234863.92246759,7134510.60534911,3608874.85443283,7782013.20218881,9198144.31790918,10059582.7370523,8466916.7949296,9604455.66049853,9179811.92825996
8,8676126.88157224,10223424.3834989,10131842.7356359,8619461.28561826,9655908.71553991,9713511.53029296,10302251.208257,7512541.31095061,9915747.34336462,8124475.33253378,9326741.15272461,50691000,9370631.66335124,9739032.43579352,10347468.6256864,9297618.89572055,8829011.15049762,8132157.26169217,9033982.03003211,10360279.155545,9094973.31765173,9645053.35908159,10508283.6570534,9136900.26642718,9567851.89829692,9581122.62058353,9401134.26850115,10273913.1516457,9597694.3461114,11246256.7052352,9706569.90544536,8936464.38598477,9902524.36092278,6868362.35937093,10038351.524641,10425886.6865199,9983825.41621724,9239423.18928579,9394931.81708431,10006962.9273133,10323301.4157842,9054593.46001233,9359745.96093301,9915371.04322743,9105939.17216922,10027462.300972,9015821.49908612,10686022.8109414,50691000,10219272.4074871
9,50691000,8890410.18758148,9846471.42178934,50691000,10334147.6229153,50691000,10155750.7116842,10308666.9059549,10254588.9756644,9769094.66421568,7849655.03453831,9758077.83852929,9907520.88985025,10234410.6097205,10431834.0622825,10558511.0430393,9808501.04977971,9790968.19104405,10575120.5743337,9792295.34921076,10488681.18421,3547719.21444877,9737262.3852386,9193426.25623989,10389524.5211372,9446996.57457162,7450953.81832206,9821145.38134033,9774881.10849374,9348795.30604654,10060938.2448495,8703930.26514629,10410189.3311473,10432258.882307,9442917.01002336,9947201.11055469,9991983.42037445,9663275.55160895,9930219.34289251,9927940.5729416,9909634.51523538,50691000,10126200.5266613,9904427.99900818,10780899.0728541,8304036.68243635,9805002.07388677,10215538.9733778,10309859.6590992,8411775.29269224
10,10427100.9739494,9274849.80197977,9816030.12581281,10255291.3803055,50691000,9049634.85566756,10726829.5700304,10507287.76396,50691000,50691000,10332842.4812753,6129939.43420221,9290268.39894612,9927755.39178531,10218715.378205,9879533.08397433,10503273.4479971,9854766.19957448,6000094.1063087,10305911.937812,10125396.5585599,9694879.33930647,9872559.87713211,50691000,50691000,9866047.97049623,10618759.5523725,7188726.88357295,9601954.25532919,50691000,50691000,10126192.9551471,10862497.8973677,50691000,10112652.2023053,9475735.65951102,10215621.8498108,8801525.55817642,9114520.7228756,9568123.66631121,9832327.30223084,10304343.4523915,10486878.0032708,10502935.3351792,50691000,10637495.0164965,10218591.6045451,10309930.6243342,10543284.9639587,9857881.97597846
