Serial Time All Floors - All Directions - All PGs
Intensity,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50
1,0,0.0829206117085285,0.159233810204466,0,0,0,0.112546176276888,0,0,0,0,0,0,0,0.105414573303903,0,0,0,0,0,0.26277979650985,0,0,0,0.116875486592279,0,0,0,0,0,0,0,0,0.124269423836534,0,0,0,0.122087329051135,0,0.117751130195423,0,0,0,0,0,0,0,0,0.17453755680816,0
2,11.5036696352928,21.2298430615996,17.960754207141,58.9427632893429,19.6475813188322,23.7420964069817,17.1471342395572,22.2212156254268,4.77618477396778,8.26231423966288,15.9492224054807,9.98813956753978,20.4058691924703,23.1012738183437,11.4598985457113,15.5922669750321,27.014271854598,29.1538787260871,18.7211533299004,16.063519755969,21.5619249619711,18.7856858623103,25.6990219780188,2.96024158173941,28.3316624003282,16.0779406805931,19.7283907825147,14.4001073107533,37.337423862387,26.1627341730484,40.4364501371198,10.6215051332018,23.0786521528885,34.628862945383,26.9735589840308,30.1818621548014,9.10069582993341,26.1386406338606,13.2600651687863,20.1532370840703,17.5121807636678,32.5992292797043,13.047956697782,19.9252303320172,20.2860248395808,33.838029691527,35.3305930947956,34.5102912685341,33.5674933950946,33.0127553429136
3,33.6428290407498,86.7425552595031,126.455284673972,51.7388826791248,84.936153361413,47.9929472481594,35.3898634804306,34.0000253058627,43.0932787990569,103.28502472706,32.5562754307878,53.8921582788549,38.8785035713063,84.1738875367068,46.5093847909127,69.2479366506846,54.4732253314303,121.083091905854,54.9943980038825,99.9903359726851,34.9271465971562,132.296129375345,71.1167297982745,60.956986448146,41.3033071828222,51.3977376746283,67.5044436633805,35.46521942267,32.8791827948417,109.318247716811,71.7587821900627,84.1961349168392,53.0004379044246,76.7347238645968,91.0310362520809,37.577228808703,38.3374847229844,62.4613348286543,188.883739899785,31.9444810640066,49.0825482551727,54.7247369903548,58.7171874502657,49.6238105735097,48.3649000863953,45.6376966668811,66.3384630038747,40.5170664603618,41.3167329231089,125.133253161501
4,94.8228515104874,81.3727972357103,57.8402480968939,90.6560010450718,105.531647169685,113.81260229494,63.6778945902285,236.31539461479,84.6983378135373,218.880872221309,199.850123851662,92.6189612863422,91.6630251908892,122.435792674092,74.9671111519136,107.223099634783,62.7144200351438,134.177781082504,95.7672680114352,254.099066613604,62.7402395840403,186.278745335002,193.407933405942,81.8363291999373,142.221339501571,57.2411811481515,220.57222991828,83.6840820646809,125.931736251476,96.8795188851073,112.783049291002,101.356442750449,200.479977984279,211.651471825991,190.091218634029,98.1350700723809,223.112374661539,360.472226690604,155.396606542001,113.765386087218,66.4322400556479,101.443096475423,156.908487236895,121.378951359224,249.162603590472,58.9993866948567,74.4389960486641,76.6946485418351,255.722326092638,85.7787296033305
5,339.483988580606,80.4093719547834,286.761144185415,101.321507671403,342.178270642815,304.396279000218,153.409476110668,108.051230823183,364.16144741745,243.769032821103,383.407768452486,368.842535412118,224.624882635875,234.355009368787,276.840628382665,368.136902877959,377.430874086971,256.930267570721,310.782073873712,97.516741325889,287.379416588705,343.767399381239,80.626492061892,97.8401214314552,256.701765981483,327.35468961559,373.701995651374,326.378562055718,88.4378636316466,147.285936957294,382.032751587927,247.253545714901,263.132340017222,329.064775894382,264.723681235614,205.612138852747,378.088817312171,328.831378293924,195.048341462747,328.634759461635,327.274479684977,293.107608212582,284.742920753841,175.729769542105,281.967041020388,285.819122344034,287.939414933828,196.487190748223,111.836227726237,314.10712429274
6,201.341458488797,343.17073772074,217.097013521055,217.399951807189,368.809998830007,181.770552109207,90.9323361608689,216.879564311683,389.044063296888,339.854691163449,363.48962709386,329.501035765941,379.952357113092,363.556230762472,360.877687417633,391.407086589123,340.814692159982,247.519586589182,330.409173468824,219.537500523736,370.971707316989,242.477465803175,341.40225635313,349.184861758208,175.952280416448,379.487330835847,304.197054339306,351.660227037553,310.952548519725,384.727851681903,301.28834563012,333.252064818464,267.506008879161,195.635830941482,327.229460253747,174.462318915197,306.961484474519,289.405944037109,338.746502776252,360.22919652707,352.855795256042,237.986813372807,331.123753305122,381.661348734159,242.133441504304,368.584694361827,357.750549458448,358.087815929222,368.199991009916,214.493295478982
7,346.124473342297,317.799404084652,345.93107270421,369.335965304124,333.380118548189,386.389336622992,279.361343057559,388.533038898184,390.008112617597,377.115724457671,308.175148372404,256.956078536417,387.660692041637,323.859711525076,375.473615581152,295.10670612268,397.854283784358,391.291341365152,307.239958988514,367.276440838503,362.002855791345,336.795647145477,168.120890676537,382.475142943944,351.586770541945,386.002307514442,277.067556961925,395.217988333115,250.393543955281,345.919208208764,383.946622148459,232.612471666329,375.552519309404,259.416041198606,267.212541144715,360.103771604401,363.484436751658,288.107663690469,398.954195620184,361.794576297291,285.170009330581,322.872334586536,270.879820245781,123.65755651181,298.683155583956,360.285458719288,383.954422030426,319.925291218001,377.623114092026,357.023749958746
8,341.148525682398,400.440204013185,400.4209850663,336.760293361735,373.052761392036,381.262157647376,398.044758442446,282.266272615625,386.385282389284,306.055905903749,359.799334728643,1800,368.079582463905,390.910134368238,408.238990917625,358.834679959422,345.734964078737,316.144562831712,351.987749980729,408.014207313373,351.330398705706,363.187326988193,401.297088633571,371.224737244468,373.175818412278,373.098489238429,376.044848447431,411.739391885469,375.041774550538,424.682221373787,389.888880310959,350.453886659367,392.009433273106,267.72873344922,393.036786416805,401.314547561744,387.746586655536,367.998029700402,376.226454410202,394.222473382666,394.679068894205,361.016298918412,366.830632087245,391.726690395109,356.203300353436,381.826963109891,351.755430610253,414.965161087104,1800,398.809686032459
9,1800,352.597161142768,383.626914655011,1800,402.247893758861,1800,394.306944459164,399.925356265492,394.336900231314,384.137824616998,287.41934584229,385.550134465355,388.7031398513,399.812089533176,402.167834085792,393.893292984016,384.857209578093,386.134253109195,408.38371050172,374.497893008665,399.933672852217,109.489132709912,387.986425212999,358.330894966559,396.285019844981,367.626756496071,285.839955239602,381.661995180044,375.058011660987,360.301938092565,391.029065259383,333.796713998131,396.255491973307,403.044654521555,377.07208436079,378.142920917042,393.735516474927,385.472119523897,389.834776726756,383.234264892292,388.65245933205,1800,396.225797032231,395.360058068011,429.419409079785,310.153215902452,380.354408158218,398.694133779929,415.496791106183,318.311018848797
10,417.86793000553,365.563893937242,382.250812135249,402.059574856796,1800,356.920040790634,418.250529138516,404.27107401293,1800,1800,402.396862652999,222.363547391605,363.204080622197,388.475209080485,402.539666118285,391.369399633324,409.965630470656,387.333250360002,219.879254045356,397.44358231105,391.633334757311,381.597461014989,383.213220880875,1800,1800,394.155070594993,410.657107155063,264.212997324618,385.455764575598,1800,1800,395.981087143062,414.535668807663,1800,397.267185158967,368.87653805245,396.940475668489,348.854475224359,353.623198629349,380.535432419693,382.3169755097,402.070955000002,404.21909122905,407.419348856936,1800,408.49393382288,393.328716197486,395.299781049731,402.42324929504,375.157799447501
